"Welcome! This is a list of the sources of instruments used in game music. Message me on Discord or comment if you have any criticism/suggestions, or request access if you want to edit the list.",,,,,,,,
"The sources on this page were gathered by G-Boy/NintendoGurkan, Hexagon12/GDhex12, Mathew Valente/TSSF, SynaMax/Max Petrosky, Elite, Chillius, midiman, ephemeralmu, Benjamin, Xane123, MtH, starerik, Blue Falcon, felineki, baggagelizard, punk7890/punk7890-2, Can of Nothing/0minus0, the editors of DEAD VGM Sound Sources, BlueTronic/Jammin' Sam Miller, peronmls/Miles, bocaj517, Nisto, crissxcr0ss, Python Blue, Enclave123, F0nkyNinja, koolaid, Skull/Adel Almas, Vera, Super Spindash, witapepsi, Ghignarda, Spinny, CM30, nford4947, KeiTaRo, drdevilfx, AceKombat, GBP/GarageBandPoke, the editors of The UNDERTALE Music Sample List, gameonion, rebooter23, thisisausername/recordreader, michael01011/michael020022, the editors of NEWER VGM Sound Sources, dutch menneer, XaikuTheMaverickHunter, Gazpacho/calcobrena, PokemonMusic, OzoneOne, Mr. Miles/dumperghost, DatExpandingFuto, amphobius, Patty Rack/PattehRose, ScrewStache, Jack L, Nico_, Sir Ulrich Von Fappenburger™/Linus Olsson, bun, the editor(s) of Patteh's Spreadsheet of Snuff, !bruh!/toastedfoxx, Nuclear/NUKELEDGE, Pinci, AHammockdream, Remi, Waf (Kurzweil K2500)/Waffles, Nesufire, Collision Chaos Radio, d-soup, Aqua (MIDI), Irikachana, WhiteVII, Xerxes, the editors of Pokémon Sound Sources (Detailed), OrangeExecutions, kabulent, Shushy Bushy, codeman38, daypeecone, Mudstep and Milon. The first six listed are the ones who have added findings to and edited this sheet.",,,,,,,,
"Rules: Please give credit if you repost a finding from this sheet. Add the instruments in the games' chronological order. Write the first or the oldest console that the game was released on only. No SFX. If a sample overlaps between multiple sources, write the source that the composers are confirmed to have, and write the oldest source that the sample appears in if the composers aren't confirmed to own any of them. If a sample overlaps between multiple sources that the composers are confirmed to have, and one isn't more likely than the other, write the oldest one.",,,,,,,,
Sample,No.,Source,Date,Game,Date,Console,Music,Composer(s)
Volume 2 - Indian Ensemble - Sitar,None,E-MU Emulator III,1989,Hotel Mario,1994,CDI,Hotel 3-1,Jack Levy
N/A,N/A,N/A (Casio Product),N/A,Hotel Mario,1994,CDI,N/A,Jack Levy
Harp,A57,Korg 01/W Pro,1992,Live A Live,1994,SNES,SELECT A LIVE,Yoko Shimomura
Choir,B37,Korg 01/W Pro,1992,Live A Live,1994,SNES,"SELECT A LIVE, Unseen Syndrome, NATIVE LIFE, The Devil King Odio, 密命 (A Secret Command), The Strongest -VICTORY ROAD-",Yoko Shimomura
Pizzicato,B57,Korg 01/W Pro,1992,Live A Live,1994,SNES,"老拳師下深山 (The Old Master Goes Down Close to the Mountain), CRY A LIVE",Yoko Shimomura
Tubular,B95,Korg 01/W Pro,1992,Live A Live,1994,SNES,"WANDERER, The Strongest -VICTORY ROAD-, The Devil King Odio",Yoko Shimomura
N/A (Orchestral Snare),N/A,Korg 01/W Pro,1992,Live A Live,1994,SNES,LIVE A LIVE,"Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
Pipe Organ & Choir  JP - Church Organ,None,Roland Sound Library L-CD1,1987,Live A Live,1994,SNES,"The Devil King Odio, MEGALOMANIA","Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
Synthesizer #2 - Midi Bells 1,None,Roland Sound Library L-CD1,1987,Live A Live,1994,SNES,"密命 (A Secret Command), 老拳師下深山 (The Old Master Goes Down Close to the Mountain)","Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
Synthesizer #3 - OB Hornz,None,Roland Sound Library L-CD1,1987,Live A Live,1994,SNES,"Kiss of Jealousy, GO! GO! King Buriki!!","Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
"WoodBass #1 & Harp #1,2 - Wood Bass1pf",None,Roland Sound Library L-CD1,1987,Live A Live,1994,SNES,NATIVE LIFE,"Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
Koto #1  JP - Koto 2,None,Roland Sound Library L-CD1,1987,Live A Live,1994,SNES,"鳥児在天空飛翔 魚児在河里游泳 (The Birds are Soaring in the Sky, and the Fishes are Swimming in the Village River), 忍音 (Sound of the Shinobi), 殺陣! (Sword Fight!)","Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
"Shamisen #1 (Hosozao, Tsugaru) - Tsugaru 1",None,Roland Sound Library L-CD1,1987,Live A Live,1994,SNES,密命 (A Secret Command),"Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
Brass Section #1 - French Hornz,None,Roland Sound Library L-CD1,1987,Live A Live,1994,SNES,WARM A LIVE,"Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
Woodwinds #1  JP - Flute 1,None,Roland Sound Library L-CD1,1987,Live A Live,1994,SNES,"忍音 (Sound of the Shinobi), NATIVE LIFE, It Seems to Be Good Weather!, Clash in China, The Strongest -VICTORY ROAD-","Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
Woodwind #2 - Oboe 1,None,Roland Sound Library L-CD1,1987,Live A Live,1994,SNES,"老拳師下深山 (The Old Master Goes Down Close to the Mountain), CRY A LIVE, WARM A LIVE","Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
Shakuhachi #1 - Shaku Vib,None,Roland Sound Library L-CD1,1987,Live A Live,1994,SNES,"密命 (A Secret Command), 殺陣! (Sword Fight!)","Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
Pan Pipes / Shakuhachi - Pan Pipes 1,None,Roland Sound Library L-CD1,1987,Live A Live,1994,SNES,"鳥児在天空飛翔 魚児在河里游泳 (The Birds are Soaring in the Sky, and the Fishes are Swimming in the Village River), CRY A LIVE","Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
Oriental Cymbals & Gongs - Theater Cymb,None,Roland Sound Library L-CD1,1987,Live A Live,1994,SNES,"鳥児在天空飛翔 魚児在河里游泳 (The Birds are Soaring in the Sky, and the Fishes are Swimming in the Village River), Clash in China","Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
Latin Percussion #1 - Brazilian,None,Roland Sound Library L-CD1,1987,Live A Live,1994,SNES,NATIVE LIFE,"Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
Japanese Percussion #1 - Japan Perc 1,None,Roland Sound Library L-CD1,1987,Live A Live,1994,SNES,"忍音 (Sound of the Shinobi), NATIVE LIFE","Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
Mallet Vol. 1 - B.Marimba 1,None,Roland Sound Library L-CD1,1987,Live A Live,1994,SNES,"鳥児在天空飛翔 魚児在河里游泳 (The Birds are Soaring in the Sky, and the Fishes are Swimming in the Village River), Clash in China","Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
S-550 System #2 Multi Patch #2 - Steel Drum,None,Roland Sound Library L-CD1,1987,Live A Live,1994,SNES,NATIVE LIFE,"Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
Effects #1 - Medley 1,None,Roland Sound Library L-CD1,1987,Live A Live,1994,SNES,"老拳師下深山 (The Old Master Goes Down Close to the Mountain), Sacrificial Feast, Under the Fake","Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
Jew's Harp - Jew's Harp,None,Reflective Arts Universe of Sounds Vol. 1,1987,Live A Live,1994,SNES,WANDERER,"Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
Accordion - Accordion,None,Reflective Arts Universe of Sounds Vol. 1,1987,Live A Live,1994,SNES,Wait for Truth,"Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
MonstaString - String Ens 1,None,Club 50 Master Performance Series Volume 1,1989,Live A Live,1994,SNES,(Too many to count),"Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
Harmonicas - Harmonica 2,None,Club 50 Master Performance Series Volume 1,1989,Live A Live,1994,SNES,"Wait for Truth, A PSYCHO Biker's Best Regards!!","Yoko Shimomura, Minoru Akao, Teruaki Sugwara"
Organ 3,19,Roland Sound Canvas,1991,Live A Live,1994,SNES,"It Seems to Be Good Weather!, A PSYCHO Biker's Best Regards!!",Yoko Shimomura
Timpani,48,Roland Sound Canvas,1991,Live A Live,1994,SNES,"鳥児在天空飛翔 魚児在河里游泳 (The Birds are Soaring in the Sky, and the Fishes are Swimming in the Village River), GO! GO! King Buriki!!",Yoko Shimomura
Steel Guitar,Patch A35,Roland JV-880,1992,Live A Live,1994,SNES,"WANDERER, Sancho de Los Panchoz, THE WILDS, Under the Fake",Yoko Shimomura
Thumpin Bass,Patch A58,Roland JV-880,1992,Live A Live,1994,SNES,"The Strongest -VICTORY ROAD-, Martial Arts Masters",Yoko Shimomura
Rubber Bs 1,Patch A62,Roland JV-880,1992,Live A Live,1994,SNES,(Too many to count),Yoko Shimomura
Brass Sect 1,Patch B30,Roland JV-880,1992,Live A Live,1994,SNES,"GO! GO! King Buriki!!, The Strongest -VICTORY ROAD-, Martial Arts Masters..., MEGALOMANIA, KNOCK YOU DOWN!, Kiss of Jealousy",Yoko Shimomura
PR-A RHYTHM,N/A,Roland JV-880,1992,Live A Live,1994,SNES,"忍音 (Sound of the Shinobi), Under the Fake, MEGALOMANIA, Clash in China, GO! GO! King Buriki!!, Wait for Truth, A PSYCHO Biker's Best Regards!!",Yoko Shimomura
Total Kit,A09,Korg 01/W,1991,Sonic the Hedgehog 3,1994,MD/SG,Data Select Screen,Masaru Setsumaru
3:17,None,Michael Jackson - Jam,1991,Sonic the Hedgehog 3,1994,MD/SG,Carnival Night Zone,Michael Jackson & Brad Buxer
2:48,None,Michael Jackson - In the Closet,1991,Sonic the Hedgehog 3,1994,MD/SG,Carnival Night Zone,Michael Jackson & Brad Buxer
0:16,None,Michael Jackson - Why You Wanna Trip on Me,1991,Sonic the Hedgehog 3,1994,MD/SG,Carnival Night Zone,Michael Jackson & Brad Buxer
Acoustic Guitar #1  JP - C.Gt1;F.Gt1,None,Roland Sound Library L-CD1,1987,Super Mario World 2: Yoshi's Island,1995,SNES,A Powerful Baby,Koji Kondo
Multi Sampled Solo Trumpet &Horn - SoloHorn  MS,None,Roland Sound Library L-CD1,1987,Super Mario World 2: Yoshi's Island,1995,SNES,Ending,Koji Kondo
Orchestral Percussion #1 - Timpani 2,None,Roland Sound Library L-CD1,1987,Super Mario World 2: Yoshi's Island,1995,SNES,Ending,Koji Kondo
Pan Pipes / Shakuhachi - Pan Pipes 1,None,Roland Sound Library L-CD1,1987,Super Mario World 2: Yoshi's Island,1995,SNES,Yoshi's Island,Koji Kondo
MONDO KICK,9,Roland R-8,1989,Super Mario World 2: Yoshi's Island,1995,SNES,"Flower Garden, Koopa",Koji Kondo
IMPACT SNARE,15,Roland R-8,1989,Super Mario World 2: Yoshi's Island,1995,SNES,"Flower Garden, Koopa",Koji Kondo
Music Box,11,Roland Sound Canvas SC-88,1994,Super Mario World 2: Yoshi's Island,1995,SNES,Story Music Box,Koji Kondo
Clarinet,72,Roland Sound Canvas SC-88,1994,Super Mario World 2: Yoshi's Island,1995,SNES,Athletic,Koji Kondo
Hall Strings,1,E-MU Proteus/1,1989,Super Mario World 2: Yoshi's Island,1995,SNES,"Yoshi Start Demo, Practice Course",Koji Kondo
Arco Basses,5,E-MU Proteus/2 XR,1990,Super Mario World 2: Yoshi's Island,1995,SNES,Ending,Koji Kondo
Piano (Partition A) - 1016 G.PF#2 - SEDATE PF,None,Akai Sound Library Volume 2,1988,Super Mario World 2: Yoshi's Island,1995,SNES,"Athletic, Kamek's Theme",Koji Kondo
B01 - Xylophone,3,Ensoniq Mirage DSK-8,1984,Super Mario World 2: Yoshi's Island,1995,SNES,Flower Garden,Koji Kondo
"JUNGLE, AFRICA - AFRICA: MORNING AMBIENCE, BIRDS 01",23-18-1,Sound Ideas Series 6000,1992,Super Mario World 2: Yoshi's Island,1995,SNES,Yoshi's Island,Koji Kondo
"WATER, OCEAN - WAVES COMING IN, LIGHT, SURF, SEASHORE",35-12-1,Sound Ideas Series 6000,1992,Super Mario World 2: Yoshi's Island,1995,SNES,Yoshi's Island,Koji Kondo
TOY - WINDING UP TOY,37-71-4,Sound Ideas Series 6000,1992,Super Mario World 2: Yoshi's Island,1995,SNES,Story Music Box,Koji Kondo
Pizz,24,Yamaha TG-77,1989,Super Mario World 2: Yoshi's Island,1995,SNES,Castle & Fortress,Koji Kondo
Organ Wv,38,Yamaha TG-77,1989,Super Mario World 2: Yoshi's Island,1995,SNES,"Mid-Boss, Koopa",Koji Kondo
Harp Wv,52,Yamaha TG-77,1989,Super Mario World 2: Yoshi's Island,1995,SNES,Ending,Koji Kondo
Music Box,11,Roland Sound Canvas,1991,Magical Drop,1995,SNES,Normal,"Maro, Mr. K, N'gja Miura"
Pizzicato Str,46,Roland Sound Canvas,1991,Magical Drop,1995,SNES,Kangae,"Maro, Mr. K, N'gja Miura"
Brass Section #1 - French Hornz,None,Roland Sound Library L-CD1,1987,Chrono Trigger,1995,SNES,"Ayla's Theme, Ocean Palace, Boss Battle 2",Yasunori Mitsuda
KIT:Drum Kits 1 - KIT:R&R Kit 1 - SNR:Rock Sn 1S,None,Roland Library Preview Disc SV-SP70-01,1992,Chrono Trigger,1995,SNES,"Battle 1, Boss Battle 1, In the Nick of Time, The Ruins of Number 16, Bike Chase, Robo's Theme, Tyranno Lair, The Epoch ~Wings That Cross Time~, Black Omen",Yasunori Mitsuda & Nobuo Uematsu
Fanta Bell,P-08,Roland U-220,1990,Chrono Trigger,1995,SNES,Schala's Theme,Yasunori Mitsuda
Pan Flute,M01 08,Korg M1,1988,Chrono Trigger,1995,SNES,"Light of Silence, Guardia's Millennial Fair, Delightful Spekkio, Underground Sewer, The Star Festival",Yasunori Mitsuda & Nobuo Uematsu
Organ 2,M01 17,Korg M1,1988,Chrono Trigger,1995,SNES,"Battle 1, Boss Battle 1, Fanfare 1, In the Nick of Time, Bike Chase, Boss Battle 2, Robo Gang Johnny, Last Battle",Yasunori Mitsuda & Nobuo Uematsu
Trumpet,M01 12,Korg M1,1988,Chrono Trigger,1995,SNES,(Too many to count),Yasunori Mitsuda & Nobuo Uematsu
Rhythm,M01 95,Korg M1,1988,Chrono Trigger,1995,SNES,The World Fell into Ruin,Yasunori Mitsuda
Gamelan,M02 15,Korg M1,1988,Chrono Trigger,1995,SNES,The Corridor of Time,Yasunori Mitsuda
Keyboards - Accordian11,None,Fairlight CMI III,1985,Chrono Trigger,1995,SNES,"Guardia's Millennial Fair, Gato's Song, The Sealed Door, The Star Festival",Yasunori Mitsuda & Nobuo Uematsu
Volume 1 - VibesMarimbaPerc - Marimbas,None,E-MU Emulator III,1989,Chrono Trigger,1995,SNES,"A Strange Incident, Battle, Factory Ruins, The Star Festival, Delightful Spekkio",Yasunori Mitsuda
Volume 1 - Tenor Sax - Crisp Sax,None,E-MU Emulator III,1989,Chrono Trigger,1995,SNES,"Chrono Trigger, People Who Threw Away the Desire to Live, Robo's Theme, Primeval Mountain, The Epoch ~Wings That Cross Time~",Yasunori Mitsuda & Nobuo Uematsu
Volume 1 - 12 String Guitar - 12 String Guitar,None,E-MU Emulator III,1989,Chrono Trigger,1995,SNES,"Guardia's Millennial Fair, Light of Silence, The Trial, Robo Gang Johnny, Delightful Spekkio, Underground Sewer, The Epoch ~Wings That Cross Time~, The Star Festival",Yasunori Mitsuda & Nobuo Uematsu
Volume 1 - 9ft Grand Piano - 9ft Grand 88 Raw,None,E-MU Emulator III,1989,Chrono Trigger,1995,SNES,"The Trial, The Truth That Was Hidden, The World Fell into Ruin, End of Time, Ocean Palace",Yasunori Mitsuda
Volume 2 - Steinway Grand - Grand Piano HI,None,E-MU Emulator III,1989,Chrono Trigger,1995,SNES,"Light of Silence, End of Time, Premonition, Manoria Cathedral, Black Omen, The Truth That Was Hidden, Secret of the Forest, Zeal Palace, The Sealed Door",Yasunori Mitsuda & Nobuo Uematsu
Volume 2 - Indian Ensemble - Tamboura/Tabla,None,E-MU Emulator III,1989,Chrono Trigger,1995,SNES,"Rhythm of Wind, Sky and Earth, The Corridor of Time, Schala's Theme, Secret of the Forest, Delightful Spekkio, Burn! Bobonga!",Yasunori Mitsuda & Nobuo Uematsu
Oboe,26,E-MU Proteus/2 Orchestral,1990,Chrono Trigger,1995,SNES,"Sunlight of the Morning, Underground Sewer, Schala's Theme",Yasunori Mitsuda & Nobuo Uematsu
Guitar Mutes,67,Kurzweil K2000R,1993,Chrono Trigger,1995,SNES,"The Epoch ~Wings That Cross Time~, Robo's Theme",Yasunori Mitsuda
Piccolo,906,Kurzweil Orchestral ROM,1993,Chrono Trigger,1995,SNES,"Tranquil Days, Memories of Greenery, Secret of the Forest, Huh?!, Frog's Theme, The Trial, The Truth That Was Hidden, Going Far Away in Time",Yasunori Mitsuda
Pizzicato String,957,Kurzweil Orchestral ROM,1993,Chrono Trigger,1995,SNES,"Longing of the Wind, A Strange Incident, The Trial, Underground Sewer",Yasunori Mitsuda & Nobuo Uematsu
Dynamic Harp,964,Kurzweil Orchestral ROM,1993,Chrono Trigger,1995,SNES,"Chrono Trigger, Sunlight of the Morning, Tranquil Days, Secret of the Forest, The Farthest Ends of Time, The Sealed Door, Black Omen, Going Far Away in Time",Yasunori Mitsuda & Nobuo Uematsu
Timpani,975,Kurzweil Orchestral ROM,1993,Chrono Trigger,1995,SNES,"Chrono Trigger, Burn! Bobonga!, Ocean Palace, Black Omen, Boss Battle 2",Yasunori Mitsuda & Nobuo Uematsu
Percussion (Partition E) - 1058 TBL+SIR - SITAR 1,None,Akai Sound Library Volume 2,1989,Chrono Trigger,1995,SNES,"The Corridor of Time, People Who Threw Away the Desire to Live",Yasunori Mitsuda & Nobuo Uematsu
Brass/Organ/Others (Partition C) - BASS #1 - N BASS A1 ON,None,Akai CD3000 Sound Library,1993,Chrono Trigger,1995,SNES,(Too many to count),Yasunori Mitsuda & Nobuo Uematsu
Brass/Organ/Others (Partition C) - DRUM+PERC - KICK  PROG1,None,Akai CD3000 Sound Library,1993,Chrono Trigger,1995,SNES,"Battle 1, Tyranno Lair",Yasunori Mitsuda & Nobuo Uematsu
Drum/WS/Others (Partition D) - DRY KIT #1 - DRY KICK+SN1,None,Akai CD3000 Sound Library,1993,Chrono Trigger,1995,SNES,Robo Gang Johnny,Yasunori Mitsuda
Partition A - AHH - AHH,None,Peter Siedlaczek's Classical Choir,1993,Chrono Trigger,1995,SNES,"Premonition, Secret of the Forest, Battle, Manoria Cathedral, Light of Silence, People Who Threw Away the Desire to Live, The Corridor of Time, Black Omen",Yasunori Mitsuda & Nobuo Uematsu
FM Pleasure - 0:10/C4,17,Sonic Images Vol 4 Stack Sounds B,1990,Chrono Trigger,1995,SNES,"The World Fell into Ruin, The Ruins of Number 16",Yasunori Mitsuda
N/A (Electric Lead Guitar),None,HitSound Sampling CD Guitar,1991,Chrono Trigger,1995,SNES,"Boss Battle 1, Bike Chase, Tyranno Lair, Last Battle",Yasunori Mitsuda & Nobuo Uematsu
Partition G - 87 CLAPS - 87 CLAP LGE1,None,East☆West ProSamples 1 Drums,1990,Chrono Trigger,1995,SNES,Guardia's Millennial Fair,Yasunori Mitsuda
Partition C - VOLUME 008 - TAMB.BJTRK36,None,East☆West ProSamples 2 Percussion and Bass,1991,Chrono Trigger,1995,SNES,"Guardia's Millennial Fair, Longing of the Wind",Yasunori Mitsuda
EMOTION - Baby Laughing,34,Discovery Sound Effects CD Series 1 Life,1995,Chrono Trigger,1995,SNES,"Magus' Castle, Battle with Magus",Yasunori Mitsuda
"Double Bass, pizz - 0:32",43,Masterbits Climax Collection Vol. 2 Classic,1990,Chrono Trigger,1995,SNES,Guardia's Millennial Fair,Yasunori Mitsuda
Mad Organ,P-16,Roland U-220,1990,Kirby Super Star/Kirby's Fun Pak,1995,SNES,My Friend and the Setting Sun...,Jun Ishikawa & Dan Miyakawa
Syn Vox 1,P-21,Roland U-220,1990,Kirby Super Star/Kirby's Fun Pak,1995,SNES,"Great King Dedede's Theme, Battleship Halberd: Deck, Float Islands, Bubbly Clouds",Jun Ishikawa & Dan Miyakawa
Soft Trumpet,P-33,Roland U-220,1990,Kirby Super Star/Kirby's Fun Pak,1995,SNES,"Battleship Halberd: Inside, My Friend and the Setting Sun, Kirby's Triumphant Return ~ Staff Roll, Battleship Halberd: Above, Another Clash! Gourmet Race",Jun Ishikawa & Dan Miyakawa
BrassSection,P-35,Roland U-220,1990,Kirby Super Star/Kirby's Fun Pak,1995,SNES,"Battle with a Boss, Great King Dedede's Theme, Battleship Halberd: Inside",Jun Ishikawa & Dan Miyakawa
Fantasia,P-41,Roland U-220,1990,Kirby Super Star/Kirby's Fun Pak,1995,SNES,Continue?,Jun Ishikawa & Dan Miyakawa
ORCH HIT,34,Roland SN-U110-02 Latin & F.X. Percussions,N/A,Kirby Super Star/Kirby's Fun Pak,1995,SNES,"Battleship Halberd: Deck, Battleship Halberd: Inside, Battleship Halberd: Above",Jun Ishikawa & Dan Miyakawa
TIMPANI 1,34,Roland SN-U110-06 Orchestral Winds,N/A,Kirby Super Star/Kirby's Fun Pak,1995,SNES,"Clash! Gourmet Race, The Great Cavern Strategy, Mine Cart Area",Jun Ishikawa & Dan Miyakawa
ELEC DRUMS,2,Roland SN-U110-10 Rock Drums,N/A,Kirby Super Star/Kirby's Fun Pak,1995,SNES,(Too many to count),Jun Ishikawa & Dan Miyakawa
STRings,113,E-MU Proteus/1,1989,Kirby Super Star/Kirby's Fun Pak,1995,SNES,"Clash! Gourmet Race, Earth Depths Wood Area, Crystal Field Area, The Road to the Fighting Champion, Mine Cart Ride!, The Arena",Jun Ishikawa & Dan Miyakawa
Grand Piano 16',RAM3: 00,Korg Wavestation,1990,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,Snakey Chantey,David Wise
Alto Sax,RAM3: 02,Korg Wavestation,1990,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,"Swanky's Swing, Snakey Chantey, Stickerbush Symphony",David Wise
Pan Flute,RAM3: 32,Korg Wavestation,1990,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,"Bayou Boogie, Forest Interlude, Cranky's Conga",David Wise
Air Vox,ROM: 11,Korg Wavestation,1990,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,Stickerbush Symphony,David Wise
Mute Guitar,RAM2: 12,Korg Wavestation,1990,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,"Run, Rambi! Run!",David Wise
Marimba,RAM3: 10,Korg Wavestation,1990,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,Cranky's Conga,David Wise
ACOUSTIC BASS,26,Roland SN-R8-02 Jazz Brush,1989,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,"School House Harmony, Cranky's Conga",David Wise
Acoust Piano,P-01,Roland U-220,1989,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,"Swanky's Swing, Snakey Chantey, Flight of the Zinger, Stickerbush Symphony, Hot-Head Bop, Run, Rambi! Run!",David Wise
Pizzicato Str,46,Roland Sound Canvas,1991,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,"K. Rool Returns, Bayou Boogie, Krook's March",David Wise
Harp,47,Roland Sound Canvas,1991,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,"K. Rool Returns, Krook's March, Jib Jig, Lockjaw's Saga, Snakey Chantey",David Wise
Timpani,48,Roland Sound Canvas,1991,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,"K. Rool Returns, Krook's March",David Wise
STR:.Marcato 2 - STR:.Marcato 2 - STR:.Vls Marcato,None,Roland Library Preview Disc SV-SP70-01,1992,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,"Welcome to Crocodile Isle, Lockjaw's Saga",David Wise
STR:Various Sect - STR:Chamber Grp - STR:Ens.Violin 1,None,Roland Library Preview Disc SV-SP70-01,1992,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,"Jib Jig, Klomp's Romp",David Wise
STR:Vcs Marc-Piz - STR:Vcs Marcato - STR:Vcs Marc 1aS,None,Roland L-CD702 Orchestral Family Vol. 1,1992,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,"Haunted Chase, Crocodile Cacophony",David Wise
CYM:Orch Cymbals - CYM:Orch Crash - CYM:Orch Cr Menu,None,Roland Orchestral Percussion Vol. 1,1993,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,Haunted Chase,David Wise
VINYL-STYLE LOOPS - vinyl-style loops - 0:53/funkshun loop 108,7,Zero-G Funky Element,1991,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,Funky the Main Monkey,David Wise
HORN HITS + STABS - horn hits + stabs - sassy hit,18,Zero-G Funky Element,1991,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,Funky the Main Monkey,David Wise
FUNKY SAX FX - funky sax FX - 0:23/hi lick,36,Zero-G Funky Element,1991,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,Funky the Main Monkey,David Wise
GUITAR RIFFS + FX - guitar riffs + FX - 0:03/wicked looped wah wah (Am),41,Zero-G Funky Element,1991,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,Funky the Main Monkey,David Wise
70'S KEYS - hohner clavinet - C3,33,Zero-G Mo' Funky Elements,1994,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,Funky the Main Monkey,David Wise
WIND+BRASS - OTHER BRASS - FRENCH HORN,None,Ensoniq CD-ROM Sound Library CDR-1,1993,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,"Welcome to Cr0c0dile Isle, Lockjaw's Saga, Run, Rambi! Run!",David Wise
VOCAL SOUND - CHOIR - VIB-TENR-OOO,None,Ensoniq CD-ROM Sound Library CDR-2,1993,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,Kannon's Klaim,David Wise
VOCAL SOUND - VOCAL EFFECT - VOCAL SNIPS,None,Ensoniq CD-ROM Sound Library CDR-3,1993,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,Funky the Main Monkey,David Wise
Partition D - VOLUME 008 - BASS FP AM 5,None,East☆West ProSamples 2 Percussion and Bass,1991,Donkey Kong Country 2: Diddy's Kong Quest,1995,SNES,"Snakey Chantey, Hot-Head Bop, Swanky's Swing",David Wise
Pizzicato Str,46,Roland Sound Canvas SC-88,1994,Tales of Phantasia,1995,SNES,N/A,Motoi Sakuraba & Shinji Tamura
French Horns,61,Roland Sound Canvas SC-88,1994,Tales of Phantasia,1995,SNES,Retaliation,Motoi Sakuraba & Shinji Tamura
Pizz Violins,16,E-MU Proteus/2 Orchestral,1990,Rayman,1995,PS1,"Dream Forest, The Magician's Theme",(Too many to count)
Oboe,26,E-MU Proteus/2 Orchestral,1990,Rayman,1995,PS1,Betilla the Fairy's Theme,(Too many to count)
English Horn,27,E-MU Proteus/2 Orchestral,1990,Rayman,1995,PS1,The Magician's Theme,(Too many to count)
Clarinet,28,E-MU Proteus/2 Orchestral,1990,Rayman,1995,PS1,The Magician's Theme,(Too many to count)
Bassoon,30,E-MU Proteus/2 Orchestral,1990,Rayman,1995,PS1,The Magician's Theme,(Too many to count)
64voicePiano,PR-A:001,Roland Super JV JV-1080,1994,Rayman,1995,PS1,The Magician's Theme,(Too many to count)
Tria Bells,PR-A:085,Roland Super JV JV-1080,1994,Rayman,1995,PS1,The Magician's Theme,(Too many to count)
Nylon Gtr,PR-A:108,Roland Super JV JV-1080,1994,Rayman,1995,PS1,Crystal Palace,(Too many to count)
PizzicatoStr,GM:046,Roland Super JV JV-1080,1994,Rayman,1995,PS1,The Magician's Theme,(Too many to count)
OrchestraHit,GM:056,Roland Super JV JV-1080,1994,Rayman,1995,PS1,The Magician's Theme,(Too many to count)
Timpani,M02 19,Korg M1,1988,Tintin in Tibet,1995,SNES,Critical Situation,Fabrice Bouillon & Emmanuel Regis
