Sample Description,Sample #,Source,Path/Bank,Program,Notes,Demo
Bass Drum,SWAV 0,DS Soundware - Ultimate Orchestral Percussion,,,,
Percussion Hit,SWAV 1,UNKNOWN,UNKNOWN,UNKNOWN,,
Percussion Hit,(Cont),UNKNOWN,UNKNOWN,UNKNOWN,,
Clarinet,SWAV 2,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Clarinet,SWAV 3,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Clarinet,SWAV 4,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Clarinet,SWAV 5,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Clarinet,SWAV 6,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Clarinet,SWAV 7,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Clarinet,SWAV 8,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Oboe,SWAV 9,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Oboe,SWAV 10,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Oboe,SWAV 11,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
String Staccato,SWAV 12,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 13,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 14,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 15,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Staccato,SWAV 16,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Staccato,Ensemble Staccato,,
String Ensemble,SWAV 17,EastWest - Symphonic Orchestra,,,,
String Ensemble,SWAV 18,EastWest - Symphonic Orchestra,,,,
String Ensemble,SWAV 19,EastWest - Symphonic Orchestra,,,,
String Ensemble,SWAV 20,EastWest - Symphonic Orchestra,,,,
String Ensemble,SWAV 21,EastWest - Symphonic Orchestra,,,,
String Ensemble,SWAV 22,EastWest - Symphonic Orchestra,,,,
String Tremolo,SWAV 23,Sonic Implants - Symphonic String Collection,,,,
String Tremolo,SWAV 24,Sonic Implants - Symphonic String Collection,,,,
String Tremolo,SWAV 25,Sonic Implants - Symphonic String Collection,,,,
String Tremolo,SWAV 26,Sonic Implants - Symphonic String Collection,,,,
Choir,SWAV 27,,,,,
Choir,SWAV 28,,,,,
16. The Enterprise Going Into Sea,,,,,,
Picked Bass,SWAV 0,Apple - EXS24,UNKNOWN,,,
Picked Bass,SWAV 1,Apple - EXS24,UNKNOWN,,,
Picked Bass,SWAV 2,Apple - EXS24,UNKNOWN,,,
Cymbal Crash,SWAV 3,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Cymbal Sustain,SWAV 4,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Flute,SWAV 5,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 6,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 7,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 8,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 9,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Snare Roll,SWAV 10,DS Soundware - Ultimate Orchestral Percussion,Orchestra Snare Drum,Orchestra Snare Drum,,
Snare Roll,SWAV 11,DS Soundware - Ultimate Orchestral Percussion,Orchestra Snare Drum,Orchestra Snare Drum,,
Snare Hit,SWAV 12,DS Soundware - Ultimate Orchestral Percussion,Orchestra Snare Drum,Orchestra Snare Drum,,
String Ensemble,SWAV 13,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 14,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 15,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 16,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 17,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 18,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 19,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Trombone Ensemble,SWAV 20,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Trombone Ensemble,SWAV 21,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Trombone Ensemble,SWAV 22,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Timpani,SWAV 23,,,,,
Timpani,SWAV 24,,,,,
Timpani,SWAV 25,,,,,
Trumpet,SWAV 26,,,,,
Trumpet,SWAV 27,,,,,
17. Living Forest,,,,,,
Bassoon Staccato,SWAV 0,Apple - EXS24,Orchestral -> Woodwinds,Bassoon Solo Staccato,,
Bassoon Staccato,SWAV 1,Apple - EXS24,Orchestral -> Woodwinds,Bassoon Solo Staccato,,
Clarinet Staccato,SWAV 2,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Staccato,,
Clarinet Staccato,SWAV 3,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Staccato,,
Clarinet Staccato,SWAV 4,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Staccato,,
Clarinet Staccato,SWAV 5,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Staccato,,
Clarinet Staccato,SWAV 6,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Staccato,,
Flute,SWAV 7,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 8,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 9,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 10,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 11,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
18. Ancient City,,,,,,
Flute,SWAV 0,EastWest - Symphonic Orchestra,Woodwinds -> Solo Piccolo Flute -> 5 Keysw,PFL KS Master,,
Flute,SWAV 1,EastWest - Symphonic Orchestra,Woodwinds -> Solo Piccolo Flute -> 5 Keysw,PFL KS Master,,
Flute,SWAV 2,EastWest - Symphonic Orchestra,Woodwinds -> Solo Piccolo Flute -> 5 Keysw,PFL KS Master,,
Celesta,SWAV 3,,,,,
Celesta,SWAV 4,,,,,
Celesta,SWAV 5,,,,,
Celesta,SWAV 6,,,,,
Celesta,SWAV 7,,,,,
Flute,SWAV 8,EastWest - Symphonic Orchestra,Woodwinds -> Solo Piccolo Flute -> 5 Keysw,PFL KS Master,,
Flute,SWAV 9,EastWest - Symphonic Orchestra,Woodwinds -> Solo Piccolo Flute -> 5 Keysw,PFL KS Master,,
Flute,SWAV 10,EastWest - Symphonic Orchestra,Woodwinds -> Solo Piccolo Flute -> 5 Keysw,PFL KS Master,,
Flute,SWAV 11,EastWest - Symphonic Orchestra,Woodwinds -> Solo Piccolo Flute -> 5 Keysw,PFL KS Master,,
Slow String Ensemble,SWAV 12,,,,,
Slow String Ensemble,SWAV 13,,,,,
Slow String Ensemble,SWAV 14,,,,,
Slow String Ensemble,SWAV 15,,,,,
Slow String Ensemble,SWAV 16,,,,,
Slow String Ensemble,SWAV 17,,,,,
Slow String Ensemble,SWAV 18,,,,,
Slow String Ensemble,SWAV 19,,,,,
19. Chocobo Theme,,,,,,
Upright Bass,SWAV 0,,,,,
Upright Bass,SWAV 1,,,,,
Acoustic Guitar,SWAV 2,Apple - EXS24,,,,
Acoustic Guitar,SWAV 3,Apple - EXS24,,,,
Acoustic Guitar,SWAV 4,Apple - EXS24,,,,
Acoustic Guitar,SWAV 5,Apple - EXS24,,,,
Acoustic Guitar,SWAV 6,Apple - EXS24,,,,
Acoustic Guitar,SWAV 7,Apple - EXS24,,,,
Acoustic Guitar,SWAV 8,Apple - EXS24,,,,
Harmonica,SWAV 9,Apple - EXS24,Legacy Instruments -> Horns & Woodwinds,BluesHarp,,
Harmonica,SWAV 10,Apple - EXS24,Legacy Instruments -> Horns & Woodwinds,BluesHarp,,
Harmonica,SWAV 11,Apple - EXS24,Legacy Instruments -> Horns & Woodwinds,BluesHarp,,
Harmonica,SWAV 12,Apple - EXS24,Legacy Instruments -> Horns & Woodwinds,BluesHarp,,
Harmonica,SWAV 13,Apple - EXS24,Legacy Instruments -> Horns & Woodwinds,BluesHarp,,
Flute,SWAV 14,Apple - EXS24,,,,
Flute,SWAV 15,Apple - EXS24,,,,
Flute,SWAV 16,Apple - EXS24,,,,
Flute,SWAV 17,Apple - EXS24,,,,
Flute,SWAV 18,Apple - EXS24,,,,
Flute,SWAV 19,Apple - EXS24,,,,
Flute,SWAV 20,Apple - EXS24,,,,
20. Fat Chocobo,,,,,,
Tubular Bell,SWAV 0,EastWest - Symphonic Orchestra,Perc -> Metals,Orch Chimes,,
Conga,SWAV 1,,,,,
Conga,SWAV 2,,,,,
Conga,SWAV 3,,,,,
Snare,SWAV 4,,,,,
Snare,SWAV 5,,,,,
Snare Roll,SWAV 6,,,,,
Snare Roll,SWAV 7,,,,,
Trombone Ensemble,SWAV 8,,,,,
Trombone Ensemble,SWAV 9,,,,,
Trumpet Staccato,SWAV 10,,,,,
Trumpet Staccato,SWAV 11,,,,,
Trumpet Staccato,SWAV 12,,,,,
Trumpet Staccato,SWAV 13,,,,,
Trumpet Staccato,SWAV 14,,,,,
Solo Trumpet,SWAV 15,,,,,
Solo Trumpet,SWAV 16,,,,,
Solo Trumpet,SWAV 17,,,,,
Triangle,SWAV 18,Apple - EXS24,Orchestral -> Percussion,Orchestral Kit,,
Tuba Staccato,SWAV 19,Apple - EXS24,Orchestral -> Tuba,Tuba Solo Staccato,,
Tuba Staccato,SWAV 20,Apple - EXS24,Orchestral -> Tuba,Tuba Solo Staccato,,
Tuba Staccato,SWAV 21,Apple - EXS24,Orchestral -> Tuba,Tuba Solo Staccato,,
Tuba,SWAV 22,Apple - EXS24,Orchestral -> Tuba,Tuba Solo Legato,,
Tuba,SWAV 23,Apple - EXS24,Orchestral -> Tuba,Tuba Solo Legato,,
Xylophone,SWAV 24,EastWest - Symphonic Orchestra,Perc -> Wood,Xylophone,,
Xylophone,SWAV 25,EastWest - Symphonic Orchestra,Perc -> Wood,Xylophone,,
Xylophone,SWAV 26,EastWest - Symphonic Orchestra,Perc -> Wood,Xylophone,,
Xylophone,SWAV 27,EastWest - Symphonic Orchestra,Perc -> Wood,Xylophone,,
21. Tower of Owen,,,,,,
Cymbal Crash,SWAV 0,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Cymbal Sustain,SWAV 1,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
String Ensemble,SWAV 2,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 3,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 4,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 5,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 6,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 7,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 8,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 9,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Timpani,SWAV 10,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,
Timpani,SWAV 11,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,
Timpani Roll,SWAV 12,DS Soundware - Ultimate Orchestral Percussion,UNKNOWN,,,
Timpani Roll,SWAV 13,DS Soundware - Ultimate Orchestral Percussion,UNKNOWN,,,
String Ensemble,SWAV 14,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Trombone Staccato,SWAV 15,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
Trombone Staccato,SWAV 16,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,
22. Gysahl Greens,,,,,,
Flute,SWAV 0,,,,,
Flute,SWAV 1,,,,,
Flute,SWAV 2,,,,,
Xylophone,SWAV 3,,,,,
Xylophone,SWAV 4,,,,,
Xylophone,SWAV 5,,,,,
Steel Drums,SWAV 6,,,,,
Steel Drums,SWAV 7,,,,,
Steel Drums,SWAV 8,,,,,
Steel Drums,SWAV 9,,,,,
Percussion Loop,SWAV 10,,,,,
Percussion Loop,SWAV 11,,,,,
Percussion Loop,SWAV 12,,,,,
Percussion Loop,SWAV 13,,,,,
23. Castle of Hain,,,,,,
Pizzicato Strings,SWAV 0,,,,,
Pizzicato Strings,SWAV 1,,,,,
Bassoon,SWAV 2,Apple - EXS24,Orchestral -> Woodwinds,Bassoon Solo Staccato,,
Bassoon,SWAV 3,Apple - EXS24,Orchestral -> Woodwinds,Bassoon Solo Staccato,,
Bassoon,SWAV 4,Apple - EXS24,Orchestral -> Woodwinds,Bassoon Solo Staccato,,
Clarinet,SWAV 5,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Clarinet,SWAV 6,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Clarinet,SWAV 7,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Flute,SWAV 8,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Staccato,,
Flute,SWAV 9,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 10,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 11,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Percussion Loop,SWAV 12,EastWest - Percussive Adventures,012 013 014 Gods Are Crazy,"12, 13 & 14 GODS-108",,
Percussion Loop,SWAV 13,EastWest - Percussive Adventures,012 013 014 Gods Are Crazy,"12, 13 & 14 GODS-108",,
Oboe,SWAV 14,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Oboe,SWAV 15,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Ratchet,SWAV 16,Apple - EXS24,Orchestral -> Percussion,Orchestral Kit,,
24. Hazardous Short Music 1,,,,,,
Marimba,SWAV 0,Apple - EXS24,UNKNOWN,,,
Marimba,SWAV 1,Apple - EXS24,UNKNOWN,,,
String Ensemble,SWAV 2,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 3,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 4,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 5,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 6,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Timpani,SWAV 7,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,
Timpani,SWAV 8,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,
25. Hazardous Short Music 2,,,,,,
Choir,SWAV 0,,,,,
Upright Bass,SWAV 1,Apple - EXS24,UNKNOWN,UNKNOWN,,
Marimba,SWAV 2,UNKNOWN,UNKNOWN,UNKNOWN,,
Marimba,SWAV 3,UNKNOWN,UNKNOWN,UNKNOWN,,
Marimba,SWAV 4,UNKNOWN,UNKNOWN,UNKNOWN,,
String Ensemble,SWAV 5,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 6,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 7,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Timpani,SWAV 8,,,,,
26. Hazardous Short Music 3,,,,,,
Pizzicato Strings,SWAV 0,,,,,
Pizzicato Strings,SWAV 1,,,,,
String Ensemble,SWAV 2,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 3,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 4,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 5,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 6,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 7,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 8,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Choir,SWAV 9,EastWest - Voices of the Apocalypse,Women's Choir V.2,WC ah MOD C1-C#1,,
27. Battle 2,,,,,,
Picked Bass,SWAV 0,,,,,
Picked Bass,SWAV 1,,,,,
Picked Bass,SWAV 2,,,,,
Bass Drum,SWAV 3,DS Soundware - Ultimate Orchestral Percussion,,,,
Bass Drum Roll,SWAV 4,DS Soundware - Ultimate Orchestral Percussion,,,,
Cymbal Crash,SWAV 5,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Cymbal Sustain,SWAV 6,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,
Flute Staccato,SWAV 7,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Staccato,,
Flute Staccato,SWAV 8,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Staccato,,
Flute Staccato,SWAV 9,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Staccato,,
Flute Staccato,SWAV 10,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Staccato,,
Flute,SWAV 11,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 12,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
French Horn Ensemble,SWAV 13,,,,,
Snare,SWAV 14,DS Soundware - Ultimate Orchestral Percussion,Orchestral Snare,Orchestral Snare,,
String Ensemble,SWAV 15,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 16,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 17,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 18,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
Trombone Ensemble,SWAV 19,Trombone Ensemble,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),
Trombone Ensemble,SWAV 20,Trombone Ensemble,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),
Trombone Ensemble,SWAV 21,Trombone Ensemble,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),
Timpani,SWAV 22,UNKNOWN,,,,
Timpani,SWAV 23,UNKNOWN,,,,
Solo Trumpet,SWAV 24,UNKNOWN,,,,
Solo Trumpet,SWAV 25,UNKNOWN,,,,
28. Requiem,,,,,,
Harpsichord,SWAV 0,UNKNOWN,,,,
Harpsichord,SWAV 1,UNKNOWN,,,,
Harpsichord,SWAV 2,UNKNOWN,,,,
Harpsichord,SWAV 3,UNKNOWN,,,,
Harpsichord,SWAV 4,UNKNOWN,,,,
Harpsichord,SWAV 5,UNKNOWN,,,,
Harpsichord,SWAV 6,UNKNOWN,,,,
Harpsichord,SWAV 7,UNKNOWN,,,,
Organ,SWAV 8,UNKNOWN,,,,
Organ,SWAV 9,UNKNOWN,,,,
Organ,SWAV 10,UNKNOWN,,,,
Organ,SWAV 11,UNKNOWN,,,,
Organ,SWAV 12,UNKNOWN,,,,
Organ,SWAV 13,UNKNOWN,,,,
Organ,SWAV 14,UNKNOWN,,,,
Organ,SWAV 15,UNKNOWN,,,,
29. The Enterprise Soars in the Sky,,,,,,
Cymbal Crash,SWAV 0,Apple - EXS24,,,,
Ride Cymbal,SWAV 1,Apple - EXS24,,,,
Snare,SWAV 2,Apple - EXS24,,,,
Kick,SWAV 3,Apple - EXS24,,,,
Hi Hat,SWAV 4,Apple - EXS24,,,,
Tom,SWAV 5,Apple - EXS24,,,,
Snare,SWAV 6,Apple - EXS24,,,,
Cymbal Crash,SWAV 7,Apple - EXS24,,,,
Tom,SWAV 8,Apple - EXS24,,,,
Ride Cymbal,SWAV 9,Apple - EXS24,,,,
Tom,SWAV 10,Apple - EXS24,,,,
Harp,SWAV 11,UNKNOWN,,,,
Harp,SWAV 12,UNKNOWN,,,,
Picked Bass,SWAV 13,Apple - EXS24,,,,
Picked Bass,SWAV 14,Apple - EXS24,,,,
Picked Bass,SWAV 15,Apple - EXS24,,,,
String Ensemble,SWAV 16,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 17,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 18,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 19,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
String Ensemble,SWAV 20,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,
30. The Boundless Ocean,,,,,,
Flute,SWAV 0,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 1,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 2,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 3,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Harp,SWAV 4,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Harp,SWAV 5,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Harp,SWAV 6,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Harp,SWAV 7,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Harp,SWAV 8,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Harp,SWAV 9,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Harp,SWAV 10,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
String Ensemble,SWAV 11,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,Unsure if its layed with EWQLSO,
String Ensemble,SWAV 12,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,Unsure if its layed with EWQLSO,
String Ensemble,SWAV 13,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,Unsure if its layed with EWQLSO,
String Ensemble,SWAV 14,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,Unsure if its layed with EWQLSO,
String Ensemble,SWAV 15,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,Unsure if its layed with EWQLSO,
String Ensemble,SWAV 16,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,Unsure if its layed with EWQLSO,
"31. Elia, the Maiden of Water",,,,,,
Clarinet,SWAV 0,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Clarinet,SWAV 1,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Clarinet,SWAV 2,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Clarinet,SWAV 3,Apple - EXS24,Orchestral -> Woodwinds,Clarinet Solo Legato,,
Celesta,SWAV 4,CHECK,,,,
Celesta,SWAV 5,CHECK,,,,
Celesta,SWAV 6,CHECK,,,,
Celesta,SWAV 7,CHECK,,,,
Celesta,SWAV 8,CHECK,,,,
Celesta,SWAV 9,CHECK,,,,
Oboe,SWAV 10,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Oboe,SWAV 11,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Oboe,SWAV 12,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Oboe,SWAV 13,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Oboe,SWAV 14,Apple - EXS24,Orchestral -> Woodwinds,Oboe Solo Legato,,
Piano,SWAV 15,,,,,
Piano,SWAV 16,,,,,
Piano,SWAV 17,,,,,
Piano,SWAV 18,,,,,
Piano,SWAV 19,,,,,
Piano,SWAV 20,,,,,
32. Tower of Alm,,,,,,
String Ensemble,SWAV 0,Sonic Implants - Symphonic String Collection,,,,
String Ensemble,SWAV 1,Sonic Implants - Symphonic String Collection,,,,
String Ensemble,SWAV 2,Sonic Implants - Symphonic String Collection,,,,
String Ensemble,SWAV 3,Sonic Implants - Symphonic String Collection,,,,
String Ensemble,SWAV 4,Sonic Implants - Symphonic String Collection,,,,
Flute,SWAV 5,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 6,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Flute,SWAV 7,Apple - EXS24,Orchestral -> Woodwinds,Flute Solo Legato,,
Harp,SWAV 8,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Harp,SWAV 9,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Harp,SWAV 10,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Harp,SWAV 11,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Harp,SWAV 12,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Harp,SWAV 13,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
