Instrument,Source,Path/Bank,Preset,Notes,Demo
Woodblocks,Spectrasonics - Stylus RMX,60-Volcano,Volcano Kabuki Wood,,
71. Taejin's Tower,,,,,
Mukkur,Live Recording (Mina Sakai),,,As per a Gamasutra interview,
,,,,,
,,,,,
,,,,,
72. Dust to Dust,,,,,
(Arranged by Mitsuto Suzuki),,,,,
Vocals,Live Recording (Matsue Hamauzu),,,,
Oboe,EastWest - Symphonic Orchestra,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,,
,,,,,
Strings,EastWest - Symphonic Orchestra,,,,
Synth Arp,,,,,
Percussion Hit,,,,,
Metalic Hits,,,,,
White Noise,,,,,
Harp,Kontakt Factory Library,Orchestral -> 1 - VSL Strings,Harp,,
Woodblocks,,,,,
73. The Road Home,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
74. Start Your Engines,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
75. Eden Under Siege,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
73. The Cradle Will Fall,,,,,
(Arranged by Mitsuto Suzuki),,,,,
Percussion Loop,,,,,
,,,,,
,,,,,
,,,,,
74. Born Anew,,,,,
Orchestra,Live Recording (Warsaw Philharmonic Orchestra),,,,
Choir,Live Recording (Warsaw Philharmonic Choir),,,,
,,,,,
,,,,,
75. Sinful Hope,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
76. Fabula Nova Crystallis,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
77. FINAL FANTASY XIII - Miracles,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
78. Focus,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
79. Nascent Requiem,,,,,
Orchestra,Live Recording (Warsaw Philharmonic Orchestra),,,,
80. Determination,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
81. Kimi ga Irukara (Long Version) (Exclusive to the Japanese version),,,,,
Vocals,Live Recording (Sayuri Sugawara),,,,
,,,,,
,,,,,
,,,,,
82. Ending Credits,,,,,
Orchestra,Live Recording (Warsaw Philharmonic Orchestra),,,,
Leona Lewis - My Hands (Exclusive to the international versions; omitted from the OST),,,,,
Vocals,Live Recording (Leona Lewis),,,,
Section 2 - Original Soundtrack PLUS / Beta / Unreleased Tracks,,,,,
2. PV「FINAL FANTASY XIII 2006 E3 」~ (2006 draft of Blinded by Light/E3 2006 teaser trailer theme),,,,,
Synth Pad,UNKNOWN,,,,
Electric Guitar loop,UNKNOWN,,,,
Drum Loop,Spectrasonics - Stylus RMX,RMX Grooves -> 90-Beat Bastard,90-Beat Bastard Darkman,,
Drum Loop layer,Spectrasonics - Stylus RMX,RMX Grooves -> 90-Beat Bastard,90-Beat Bastard Bash Drms,,
Harmonic Synth Pad,UNKNOWN,,,,
Orchestral Hit,UNKNOWN,,,,
Strings,EastWest - Symphonic Orchestra,,,,
String Staccs,EastWest - Symphonic Orchestra,,,,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Drum Break,Spectrasonics - Stylus RMX,,,,
Shaker,Spectrasonics - Stylus RMX,Classic Stylus -> Shakers,80-Shaker 1,Pan Left,
Electric Guitar,Live Recording (Satoshi Akamatsu),,,As per the OST PLUS credits,
Solo Violin,Live Recording (Hijiri Kuwano),,,As per the OST PLUS credits,
Drums,Live Recording (Tappi Iwase),,,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
3. M1 No.2 title αVersion ~ (Draft of FINAL FANTASY XIII – The Promise),,,,,
Piano,CHECK,,,,
Synth Pad,Native Instruments - FM8,FM8 Factory,Airpad,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Viola Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Violas -> 5 Keysw,VAS KS Master,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 violins -> 5 Keysw,18V KS Master,,
Flute,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Bass Drum,EastWest - Symphonic Orchestra,Perc -> Drums,Bass Drum Concert,,
4. M3 No.4 BossA αVersion ~ (Draft of Saber's Edge),,,,,
Cymbals,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Strings,EastWest - Symphonic Orchestra,,,Layered over a live recording,
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,"Appears to be played at a low velocity, stage mic",
Piano,CHECK,,,Replaced with something else in the final game,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,Played with either low modulation and/or low velocity,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,Played with either low modulation and/or low velocity,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,Played with either low modulation and/or low velocity,
Tubular Bells,EastWest - Symphonic Orchestra,Perc -> Metals,Orch chimes,,
Wind Chime,EastWest - Symphonic Orchestra,Perc -> Metals,Various Metals,,
11. M33 Lightning NW Version ~ (Draft of Lightning's Theme),,,,,
Piano,CHECK,,,,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,,
Viola Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Violas -> 5 Keysw,VAS KS Master,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
12. M111 Assault 2 Prototype ~ (Draft of Fang's Theme),,,,,
Piano,CHECK,,,,
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Gong,EastWest - Symphonic Orchestra,Perc -> CymGong,All Gongs,,
Snare Ensemble,EastWest - Symphonic Orchestra,Perc -> Drums,Snare Ens Small,,
Strings,EastWest - Symphonic Orchestra,,,,
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
Wind Chime,EastWest - Symphonic Orchestra,Perc -> Metals,Various Metals,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Flute Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,3FL KS Master,,
Triangle,EastWest - Symphonic Orchestra,Perc -> Metals,Triangle,,
13. M44B Sazh B+ Prototype ~ (Draft of Can't Catch a Break),,,,,
Percussion Loop,UNKNOWN,,,,
Steel Guitar,Live Recording (Toru Tabei),,,,
Upright Bass,UNKNOWN,,,,
Whistle,UNKNOWN,,,,
"""Huh"" Sample",UNKNOWN,,,,
Piano,UNKNOWN,,,,
Trumpet Ensemble,UNKNOWN,,,,
Solo Trumpet,UNKNOWN,,,,
Sticks,UNKNOWN,,,,
Flute,UNKNOWN,,,,
14. M5_2 Final Battle Prototype+ ~ (Draft of Nascent Requiem),,,,,
Piano,UNKNOWN,,,,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Cymbals,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Gong,EastWest - Symphonic Orchestra,Perc -> CymGong,All Gongs,,
Bass Drum,EastWest - Symphonic Orchestra,Perc -> Drums,Bass Drum Wagner,,
Snare Ensemble,EastWest - Symphonic Orchestra,Perc -> Drums,3 Snares,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Triangle,EastWest - Symphonic Orchestra,Perc -> Metals,Various Metals,,
Orch chimes,EastWest - Symphonic Orchestra,Perc -> Metals,Orch chimes,,
Tambourine,EastWest - Symphonic Orchestra,Perc -> Wood,Various Percussion,,
Xylophone,EastWest - Symphonic Orchestra,Perc -> Wood,Xylophone,,
Double Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
[Notes],,,,,
"1. Find what the hell Hamauzu meant to when referring to Native's ""standard software synth"" in his OSV interview.",,,,,
"2. Check Ivory I, EastWest, and PianoTeq to find the piano as well.",,,,,
3. Check Omnisphere (Which has presets retaining their name from Atmosphere) to see if Hamauzu used any other synths,,,,,
