Type,Brand Name,Product,Source / Proof,Date/ First Recorded Usage,Last Recorded Usage,Additional Notes,,,,,,,,,,,,,,,,,,,
VST,Fxpansion,BFD3,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
VST,Native Instruments,Battery 4,Livestream,,,,,,,,,,,,,,,,,,,,,,
VST,Native Instruments,FM8,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
VST,Native Instruments,Kompakt,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
VST,Native Instruments,Kontakt 5,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
VST,Native Instruments,Komplete Control,Livestream,,,,,,,,,,,,,,,,,,,,,,
VST,Native Instruments,Massive X,Livestream,,,,,,,,,,,,,,,,,,,,,,
VST,Spectrasonics,Omnisphere,Steinberg Interview,,,,,,,,,,,,,,,,,,,,,,
VST,Steinberg,Embracer,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
VST,Steinberg,HALion Sonic SE,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
VST,Steinberg,Hypersonic 2,Steinberg Interview,,,,,,,,,,,,,,,,,,,,,,
VST,Steinberg,Padshop,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
VST,Synthogy,Ivory,Steinberg Interview,,,,,,,,,,,,,,,,,,,,,,
VST,YMCK,Magical8bitplug,Twitter Post,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Cinesamples,VOXOS,Steinberg Interview,,,,,,,,,,,,,,,,,,,,,,
Sample Library,EastWest,Hollywood Brass,Steinberg Interview,,,,,,,,,,,,,,,,,,,,,,
Sample Library,EastWest,Hollywood Strings,Steinberg Interview,,,,,,,,,,,,,,,,,,,,,,
Sample Library,EastWest,Ra,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,EastWest,Symphonic Orchestra,YouTube Video,,,"Play version, though does owns the Kompakt version too",,,,,,,,,,,,,,,,,,,
Sample Library,Garritan,Personal Orchestra 5,Steinberg Interview,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Heavocity,Damage,Steinberg Interview,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Heavocity,Evolve Mutations,Open in DAW in Tweet,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Kontakt Factory Library,Owns Kontakt -> Kontakt Factory Library,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Noire,Native Instruments Article,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Scarbee Rickenbacker Bass,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Session Strings Pro 2,Native Instruments Article,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Studio Drummer,Twitter Post,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,The Gentleman,See Twitter Post,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Sonokinetic,Hurdy Gurdy,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Sonokinetic,Gediz,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Sonokinetic,Mallets,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Sonokinetic,Ostinato Strings,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Sonokinetic,The Watchmaker,YouTube Video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spitfire Audio,Hans Zimmer Percussion,Steinberg Interview,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Equipment owned by Kumi Tanioka (Composer for Chocobo's Dungeon 2's, FFXI, and most Crystal Chronicles games)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument,Yamaha,Yamaha CP,FFXI Fan Festival 2007,,,,,,,,,,,,,,,,,,,,,,
Instrument,Yamaha,P-155,Twitter Post,,,,,,,,,,,,,,,,,,,,,,
DAW,MOTU,Digital Performer,Square Enix Music Interview,,,,,,,,,,,,,,,,,,,,,,
Audio Interface,M-Audio,Firewire Audiophile,Square Enix Music Interview,,,,,,,,,,,,,,,,,,,,,,
Audio Interface,MOTU,micro lite,Square Enix Music Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Akai,S6000,Inside Games interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,A-90,Inside Games interview,,,,,,,,,,,,,,,,,,,,,,
Sample Library,EastWest,Ra,Square Enix Music Interview,,,,,,,,,,,,,,,,,,,,,,
Sample Library,EastWest,Symphonic Orchestra,Square Enix Music Interview,,,,,,,,,,,,,,,,,,,,,,
Sample Library,MOTU,Ethno II,Square Enix Music Interview,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment owned by Tsuyoshi Sekito (Origins and FFIII DS arranger; composer for the Dissidia series and Explorers; one of the arrangers for VII Remake; Black Mages and Star Onions Guitarist),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DAW,Apple,Logic Pro,Square Enix Blog,,,,,,,,,,,,,,,,,,,,,,
Instrument,Fender,Stratocaster Master Builder,Square Enix Blog,,,,,,,,,,,,,,,,,,,,,,
Instrument,Fender,Stratocaster American Deluxe series,Square Enix Blog,,,,,,,,,,,,,,,,,,,,,,
Instrument,James Tyler Guitars,Studio Elite Deluxe,Square Enix Blog,,,,,,,,,,,,,,,,,,,,,,
Instrument,YAMAHA,Classic Guitar,Square Enix Blog,,,,,,,,,,,,,,,,,,,,,,
Sample Library,AudioBro,LA Scoring Strings,4Gamers interview,,,,,,,,,,,,,,,,,,,,,,
Sample Library,DS Soundware,Ultimate Orchestral Percussion,,Dawn of Mana (2006),,,,,,,,,,,,,,,,,,,,,
Sample Library,EastWest,Symphonic Orchestra,,Dawn of Mana (2006),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Equipment owned by Mitsuto Suzuki (Arranger for XIII, Dissidia, and 4 Heroes of Light; composer for XIII-2, Lightning Returns, Mobius, and VII Remake Trilogy) ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DAW,Ableton,Ableton Live,Square Enix Blog,,,,,,,,,,,,,,,,,,,,,,
DAW,Steinberg,Cubase Pro,Native Instruments Interview,,,,,,,,,,,,,,,,,,,,,,
Audio Interface,Chase Bliss,Lossy,Instagram Post,,,,,,,,,,,,,,,,,,,,,,
Audio Interface,Doepfer,A-199 SPRV,Native Instruments Interview,,,,,,,,,,,,,,,,,,,,,,
Audio Interface,Focal,Shape 50,Native Instruments Interview,,,,,,,,,,,,,,,,,,,,,,
Audio Interface,Gamechanger Audio,Plasma Rack,Instagram Post,,,,,,,,,,,,,,,,,,,,,,
Audio Interface,RME Audio,Fireface UFX II,Native Instruments Interview,,,,,,,,,,,,,,,,,,,,,,
Audio Interface,Roli,Songmaker Kit,Square Enix Blog,,,,,,,,,,,,,,,,,,,,,,
Audio Interface,Strymon,Magneto,Native Instruments Interview,,,,,,,,,,,,,,,,,,,,,,
Audio Interface,Sony,SRS-Z1,Native Instruments Interview,,,,,,,,,,,,,,,,,,,,,,
Bundle,In Session Audio,Shimmer Shake Strike + Expansion,Sonicwire Interview,,,,,,,,,,,,,,,,,,,,,,
Bundle,Native Instruments,KOMPLETE,Steinberg Interview,,,,,,,,,,,,,,,,,,,,,,
Bundle,UJAM,Virtual Guitarist Bundle,Sonicwire Interview,,,,,,,,,,,,,,,,,,,,,,
Bundle,UJAM,Virtual Pianist,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Effect,Audionamix,Xtrax Stems 2,Sonicwire Interview,,,,,,,,,,,,,,,,,,,,,,
Effect,Native Instruments,Guitar Rig,Steinberg Interview,,,,,,,,,,,,,,,,,,,,,,
Effect,Native Instruments,Replika,Sound & Recording Interview,,,,,,,,,,,,,,,,,,,,,,
Effect,OutPut,Portal,Square Enix Blog,,,,,,,,,,,,,,,,,,,,,,
Effect,TAL Software,TAL-Reverb-4,Sound & Recording Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Behringer,Model D,Native Instruments Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Behringer,TD-3,Instagram Post,,,,,,,,,,,,,,,,,,,,,,
Hardware,KORG,NTS-1,Square Enix Blog,,,,,,,,,,,,,,,,,,,,,,
Hardware,Korg,monotribe,Square Enix Blog ,,,,,,,,,,,,,,,,,,,,,,
Hardware,Moog,Subsequent 25,Instagram Post,,,,,,,,,,,,,,,,,,,,,,
Hardware,Native Instrument,KOMPLETE KONTROL M32。,Square Enix Blog,,,,,,,,,,,,,,,,,,,,,,
Hardware,Native Instrument,Komplete Kontrol S61,Native Instruments Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Native Instrument,Maschine,Square Enix Blog,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,Integra-7,DTM Station Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,Juno-106,Twitter post and Sound & Recording Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,TR-08,Product Review,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,TR-303,Spectrasonics Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,TR-707,Steinberg Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,TR-708,Instagram Post,,,,,,,,,,,,,,,,,,,,,,
Hardware,Roland,TR-909,Native Instruments Interview,,,Modified to mute the kick and snare,,,,,,,,,,,,,,,,,,,
Hardware,Sequential,Prophet-5,Native Instruments Interview,,,,,,,,,,,,,,,,,,,,,,
Hardware,Waldorf Music,kb37,Instagram Post,,,,,,,,,,,,,,,,,,,,,,
Hardware,Yamaha,DX7 II-FD,Instagram Post,,,,,,,,,,,,,,,,,,,,,,
Hardware,Yamaha,QY70,Twitter Post ,,,,,,,,,,,,,,,,,,,,,,
VST,FXpansion,Cypher2,Square Enix Blog,,,,,,,,,,,,,,,,,,,,,,
VST,Korg,Korg M1 Legacy Collection,Square Enix Blog ,,,,,,,,,,,,,,,,,,,,,,
VST,Lennar Digital,Sylenth1,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
VST,Native Instruments,Absynth,Part of KOMPLETE,,,,,,,,,,,,,,,,,,,,,,
VST,Native Instruments,Akoustik Piano,Part of KOMPLETE,,,,,,,,,,,,,,,,,,,,,,
VST,Native Instruments,Battery 4,Open in photo,,,,,,,,,,,,,,,,,,,,,,
VST,Native Instruments,Elektrik Piano,Part of KOMPLETE,,,,,,,,,,,,,,,,,,,,,,
VST,Native Instruments,FM8,Steinberg and Sound & Recording Interviews,,,,,,,,,,,,,,,,,,,,,,
VST,Native Instruments,Kontakt,Sound & Recording Interview,,,,,,,,,,,,,,,,,,,,,,
VST,Native Instruments,Maschine 2,Native Instruments Interview,,,,,,,,,,,,,,,,,,,,,,
VST,Native Instruments,Massive ,Steinberg & Native Instruments Interview,,,,,,,,,,,,,,,,,,,,,,
VST,Native Instruments,Massive X,Native Instruments Interview,,,,,,,,,,,,,,,,,,,,,,
VST,Native Instruments,Reaktor,Open in photo,,,,,,,,,,,,,,,,,,,,,,
VST,Reveal Sound,Spire,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
VST,Native Instruments,Super8,Sound & Recording,,,,,,,,,,,,,,,,,,,,,,
VST,Plogue,Chipsynth MD,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
VST,reFX,Nexus,"Native Instruments Interview (""Nexus 01 D"")",,,,,,,,,,,,,,,,,,,,,,
VST,Spectrasonics,Omnisphere,Square Enix Blog,,,,,,,,,,,,,,,,,,,,,,
VST,Spectrasonics,Stylus RMX,Twitter post and Sound & Recording Interview,,,,,,,,,,,,,,,,,,,,,,
VST,Steinberg,Hypersonic 2,Steinberg Interview,,,,,,,,,,,,,,,,,,,,,,
VST,Steinberg,Halion Sonic SE,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
VST,Steinberg,Retrologue,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
VST,TAL Software,TAL-U-No-62,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
VST,UJAM,Beatmaker VICE,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
VST,Universial Audio,PolyMAX Synth,Square Enix Blog,,,,,,,,,,,,,,,,,,,,,,
VST,Xfer Records,Serum,Sonicwire & Native Instruments Interview,,,,,,,,,,,,,,,,,,,,,,
VST,Yamaha,Prologue,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,AMG & Hit Music,Norman Cook - Skip to my Loops,,The World Ends With You (2007),,,,,,,,,,,,,,,,,,,,,
Sample Library,Best Service,Ethno World 6,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Best Service,Shevannai,Seen in Native Sessions Panel,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Big Fish Audio,Goth,Sonicwire Interview,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Cinesamples,Cinebrass Core,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Cinesamples,Cineperc,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Cinesamples,Cinestrings,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Cinesamples,Cinestrings Solo,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Cinesamples,VOXOS,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,e-Instruments,Stradivari Violin,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,KeepForest,Ferrum,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,OutPut,Exhale,Seen in Native Sessions Panel,,,,,,,,,,,,,,,,,,,,,,
Sample Library,In Session Audio,Shimmer Shake Strike,Has Shimmer Shake Strike + Expansion,,,,,,,,,,,,,,,,,,,,,,
Sample Library,In Session Audio,Shimmer Shake Strike Extension,Has Shimmer Shake Strike + Expansion,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Abbey Road 50s Drummer,Seen in Native Sessions Panel,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Action Strikes 2,Open in photo,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Analogue Dreams,Sound & Recording Interview,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Ashlight,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Empire Breaks,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Emotive Strings,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Mysteria,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Monark,Open in photo,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Piano Colors,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Playbox,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Lores,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Session Strings 2,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Spotlight Collection: East Asia,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Spotlight Collection: India,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Spotlight Collection: Middle East,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Straylights,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Symphonic Series String Ensemble,Seen in Native Sessions Panel,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Symphonic Series Brass Solo,Seen in Native Sessions Panel,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Symphonic Series Brass Ensemble,Seen in Native Sessions Panel,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Kontakt Factory Library,Sound & Recording Interview,,,,,,,,,,,,,,,,,,,,,,
Sample Library,OutPut,Analog Strings,Sonicwire Review,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spitfire Audio,Albion One,Square Enix Blog & RIttor Magazine Interview,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spitfire Audio,Albion Legacy,Seen in Native Sessions Panel,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spitfire Audio,Albion Loegria,Seen in Native Sessions Panel,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spitfire Audio,Albion Solstice,Sound & Recording Article,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spitfire Audio,David Fanshawe Earth Encounters,Seen in Native Sessions Panel,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spitfire Audio,eDNA Earth,Seen in Native Sessions Panel,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spitfire Audio,Eric Whitacre Choir,Sound & Recording Article,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spitfire Audio,Polaris,Native Instruments Master Class for Game Music video,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spitfire Audio,Spitfire Harp,Sound & Recording Article,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spitfire Audio,Spitfire Percussion,Sound & Recording Article,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spitfire Audio,Spitfire Symphonic Motions,Sound & Recording Article,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Vengeance Sound,Avenger,Sonicwire Interview,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Equipment owned by Yoshitaka Suzuki (XIII-2, XIV, XV, XVI, VII Remake, Record Keeper, and Stranger of Paradise composer and arranger)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Best Service,Complete Orchestral Collection,,Final Fantasy XIV (2013),,,,,,,,,,,,,,,,,,,,,
Sample Library,Cinesamples,Cinebrass Core,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Orchestral Tools,Berlin Strings,,Final Fantasy XIV: Heavensward (2015),,,,,,,,,,,,,,,,,,,,,
Sample Library,Orchestral Tools,Berlin Woodwinds,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Orchestral Tools,Metropolis Ark 1,,Final Fantasy XIV: Heavensward (2016),,,,,,,,,,,,,,,,,,,,,
Sample Library,Orchestral Tools,Berlin Orchestra Inspire,,Final Fantasy VII Remake Intergrade (2021),,,,,,,,,,,,,,,,,,,,,
Sample Library,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Equipment owned by Takeharu Ishimoto (Dissidia series and Record Keeper arranger; Compilation of VII, Dissidia series, Type-0, and VII Rebirth composer)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DAW,Steinberg,Cubase Pro 8,,,,,,,,,,,,,,,,,,,,,,,
DAW,Steinberg,Cubase Pro 9,,,,,,,,,,,,,,,,,,,,,,,
DAW,Presonus,Studio One,,,,,,,,,,,,,,,,,,,,,,,
Hardware,Native Instruments,Komplete Kontrol S49,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Big Fish Audio,Garage Breaks,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Big Fish Audio,Helter Skelter,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Big Fish Audio,Soundscapes for Cinema,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,eLAB,XTc Files of Hip-Hop,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Heavyocity,Damage,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Heavyocity,Damage 2,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Heavyocity,Gravity Pack 01: Rhythmic Textures,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Heavyocity,Gravity Pack 02: Vocalise,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Heavyocity,Gravity Pack 03: Scoring Guitars,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,"AbbeyRoad 70s Drummer
",,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Elektrik Piano 15,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Kontakt Factory Essentials,Instagram,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,"Kontakt Factory Library
",,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Rise & Hit,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Session Horns Pro,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Spotlight Collection: India,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Symphony Essentials Brass Solo,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Symphony Essentials Brass Ensemble,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Native Instruments,Symphony Essentials String Ensemble,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Roland,SR-JV80-11 Techno Collection,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Sample Magic,SM101 - Vocal Shouts,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Samplephonics,Dirty Modular,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Sony Creative Software,ACID Hip-Hop,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Sony Creative Software,Mac Money: Electro Hip-Hop,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Sony Creative Software,Mac Money: Hip-Hop/R&B Vocals,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,SoundsGood,Eurotech,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spectrasonics,Bonus Spectrasonics S.A.G.E. Xpander,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spectrasonics,Metamorphosis S.A.G.E. Xpander,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spectrasonics,Retro Funk S.A.G.E. Xpander,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spitfire,Albion II,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spitfire,Albion III,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spitfire,Albion IV,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Spitfire,Albion ONE,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Steinberg & Sounds Good,Hip Hop Beats & Treats,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Toontrack,The Rock Foundry,Instagram,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,60s a GoGo,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,60s Psychadelic Rock,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,70s Funk Rock,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,80s Synthwave,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,8 Bit Stylez,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,AntiGravity Maneuvers,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Chillout Lounge 2,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,C.R.U.N.K.,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Deep House,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Disco De Luxe,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Disco Tape,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Drum & Bass Vol. 1,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Drum & Bass Lounge,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Dubstep,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Electro Beats Pop,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Electro House 2,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Funk Up,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Funk & Soul,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Hip Hop Underground,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Instrument Series 03 - Guitar,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Instrument Series 27 - Funky Acoustic,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Jazz Lounge,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Neurofunk,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Synth Phunk,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Trance ID,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Urban,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Vocal Dance Hits 2,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Vocal House,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Ueberschall,Wild Chases,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,UVI,Mayhem of Loops,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Zero-G,Chemical Beats,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Zero-G,Guitar Odyssey,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Zero-G,N.Y. CUTZ,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Zero-G,N.Y. CUTZ vol. 2 - Off Da Hook,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Zero-G,Phantom Horns,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Zero-G,Total Drum & Bass,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Zero-G,Total Funk,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Zero-G,Total House,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Zero-G,Twisted City,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Zero-G,Vocal Foundry,,,,,,,,,,,,,,,,,,,,,,,
Sample Library,Zero-G,WIRED - The Elements of Trance,,,,,,,,,,,,,,,,,,,,,,,
Software,Arturia,Analog Lab V,,,,,,,,,,,,,,,,,,,,,,,
Software,EastWest,PLAY,,,,,,,,,,,,,,,,,,,,,,,
Software,Modartt,Pianoteq 6,,,,,,,,,,,,,,,,,,,,,,,
Software,Native Instruments,Absynth 5,,,,,,,,,,,,,,,,,,,,,,,
Software,Native Instruments,Battery 4,Instagram,,,,,,,,,,,,,,,,,,,,,,
Software,Native Instruments,FM8,,,,,,,,,,,,,,,,,,,,,,,
Software,Native Instruments,Kontakt 5,,,,,,,,,,,,,,,,,,,,,,,
Software,Native Instruments,Maschine 2,Instagram,,,,,,,,,,,,,,,,,,,,,,
