Instrument,Source,Path/Bank,Preset,Notes,Demo
7. The Evil Savior,,,,(Arranged by Masashi Hamauzu),
,,,,,
8. The Sleeping City,,,,(Arranged by Masashi Hamauzu),
,,,,,
9. Luxerion,,,,(Arranged by Masashi Hamauzu),
,,,,,
10. Reverent Souls,,,,(Arranged by Masashi Hamauzu),
,,,,,
11. Crimson Blitz,,,,(Arranged by Masashi Hamauzu & Ryo Yamazaki),
Vocals,Live Recording (Mina Sakai),,,Lyrics based off of Blinded by Light performances in IMERUAT tours,
Solo Violin,Live Recording (Hijiri Kuwano),,,,
Electric Guitar,Live Recording (Yuya Ebisawa),,,,
Synth Pad,UNKNOWN,,,,
String Ensemble,EastWest - Symphonic Orchestra,,,,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Bright Synth Lead,UNKNOWN,,,,
Kick,UNKNOWN,,,,
Rise FX,UNKNOWN,,,,
Synth FX,UNKNOWN,,,,
Shaker,UNKNOWN,,,,
Triangle,UNKNOWN,,,,
Waterfall Synth Pad,UNKNOWN,,,,
Percussion Loop,UNKNOWN,,,,
Drum Loop,UNKNOWN,,,,
12. Salvation's Fanfare,,,,(Arranged by Mitsuto Suzuki),
,,,,,
13. Sunset Prism,,,,(Arranged by Masashi Hamauzu),
,,,,,
14. Midnight Eternal,,,,(Arranged by Naoshi Mizuta & Takuro Iga),
,,,,,
15. The Savior's Words,,,,(Arranged by Wollny Andreas),
Vocals,Live Recording (Wollny Andreas),,,,
,,,,,
16. The Cathedral,,,,(Arranged by Masashi Hamauzu),
,,,,,
17. The Warren,,,,(Arranged by Mitsuto Suzuki),
,,,,,
18. Noel's Theme - The Shadow Hunter -,,,,(Arranged by Naoshi Mizuta),
Vocals,Live Recording (KOKIA),,,,
,,,,,
19. Noel and Yeul - The Promise -,,,,(Arranged by Naoshi Mizuta),
Vocals,Live Recording (Joelle Strother),,,,
,,,,,
20. Desert Awakening,,,,(Arranged by Mitsuto Suzuki & Aska Kaneko),
,,,,,
Glockenspiel,Spectrasonics - Omnisphere,Bells and Vibes,Glockenspiel Natural Ambience,,
Sitar,Spectrasonics - Omnisphere,Ethnic World,Electric Sitar a,,
,,,,,
,,,,,
,,,,,
21. The Dead Dunes,,,,(Arranged by Mitsuto Suzuki & Aska Kaneko),
Violin,Live Recording (Asuka Kaneko),,,,
Electric Guitar,Live Recording (CHECK),,,,
Oboe,Native Instruments - Kontakt Factory Library,Orchestral -> 2 - VSL Woodwinds,French Oboe,,
French Horns,Native Instruments - Kontakt Factory Library,Orchestral -> 3 - VSL Brass,French Horn Ensemble ,,
Glockenspiel,Spectrasonics - Omnisphere,Bells and Vibes,Glockenspiel Natural Ambience,,
,,,,,
22. Desert Lullaby,,,,(Arranged by Naoshi Mizuta),
Vocals,Live Recording (Gabe McNair),,,,
,,,,,
23. Graveyard of Dreams,,,,(Arranged by Naoshi Mizuta),
,,,,,
24. Bandit Gang Monoculus,,,,(Arranged by Naoshi Mizuta),
,,,,,
25. Fang's Theme - The Boss -,,,,(Arranged by Naoshi Mizuta),
,,,,,
26. Treasures Within,,,,(Arranged by Mitsuto Suzuki),
,,,,,
27. The Showdown,,,,(Arranged by Mitsuto Suzuki & Aska Kaneko),
,,,,,
28. K.O.,,,,(Arranged by Mitsuto Suzuki),
Wobbly Synth Lead,UNKNOWN,,,Also present in Historia Crux from XIII-2,
29. The Last Surviving Wilderness,,,,(Arranged by Mitsuto Suzuki),
,,,,,
30. The Wildlands,,,,(Arranged by Naoshi Mizuta & Yohei Kobayashi),
,,,,,
31. Sunset Path,,,,(Arranged by Naoshi Mizuta & Yohei Kobayashi),
,,,,,
32. Prowlers of the Night,,,,(Arranged by Naoshi Mizuta & Yohei Kobayashi),
,,,,,
33. Savior of Souls,,,,(Arranged by Naoshi Mizuta),
Solo Violin,Live Recording (Yu Manabe),,,Video posted by Square Enix UK,
,,,,,
34. Bluesy Chocobo,,,,(Arranged by Naoshi Mizuta & Masashi Kimura),
,,,,,
35. Chocobo Returns,,,,(Arranged by Naoshi Mizuta & Masashi Kimura),
,,,,,
36. Marimba de Chocobo,,,,(Arranged by: Natsumi Asari (Ful)),
Marimba,,,," This patch also appears in EWQLSO, so its possibly that too",
Steel Pans,,,,,
37. A Carefree Existence,,,,(Arranged by Naoshi Mizuta),
Timbales,EastWest - Goliath,Ethnic Percussion,GM Percussion,,
Marimba,EastWest - Goliath,GM Bank -> 009-16 CROMPERC,13-Marimba," This patch also appears in EWQLSO, so its possibly that too",
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,,
Oboe,EastWest - Symphonic Orchestra,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,,
Clarinet,EastWest - Symphonic Orchestra,Woodwinds -> Solo Clarinets,SCL KS Master,,
Piano,CHECK,,,,
38. Sazh and Dajh,,,,(Arranged by Naoshi Mizuta),
Violin,Live Recording,,,TO DO: Check Who,
Piano,CHECK,,,,
Marimba,EastWest - Goliath,GM Bank -> 009-16 CROMPERC,13-Marimba,,
String Ensemble,EastWest - Symphonic Orchestra,,,"Sounds a bit rompler-ish, so unsure",
Hi Hats & Crash,CHECK,,,,
39. Awaiting the Celebration,,,,(Arranged by Mitsuto Suzuki & Aska Kaneko),
Crowd & Tambourine Loop,Spectrasonics - Stylus RMX,EXP Libraries -> Gospel Choir Perc,160-Tamb Breakdown 6,Set speed by half,
40. The Glittering City of Yusnaan,,,,(Arranged by Mitsuto Suzuki & Aska Kaneko),
Saxophone,,,,,
Electric Guitar,,,,,
Violin,,,,,
Bagpipe,,,,,
"Choir ""oo""",,,,,
Synth Arpreggio,,,,,
Finger Cymbal,,,,,
High Pitched Gongs,,,,,
Gongs,,,,,
Crowd & Tambourine Loop,Spectrasonics - Stylus RMX,EXP Libraries -> Gospel Choir Perc,160-Tamb Breakdown 6,,
41. City of Revelry,,,,(Arranged by Mitsuto Suzuki),
Zurna(?),,,,,
Saxophone,,,,,
,,,,,
Hi-Hat,,,,,
Snare,,,,,
Tack Piano,,,,,
Ethnic Percussion Loop,,,,,
Bright Synth Pad,,,,,
Synth Pad,,,,,
Crowd & Tambourine Loop,Spectrasonics - Stylus RMX,EXP Libraries -> Gospel Choir Perc,160-Tamb Breakdown 6,,
42. Ouroboros Festival,,,,"(Arranged by Mitsuto Suzuki, Yosuke Kakegawa, & Naoyuki Honzawa (Language))",
,,,,,
43. High Voltage,,,,(Arranged by Naoshi Mizuta),
Synth Pad,,,,,
Snare,,,,,
Strings,,,,,
French Horn,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,
Detuned Saw Lead,,,,,
Dirty Synth Lead,,,,,
Piano,,,,,
Synth Arp,,,,,
44. Death Game,,,,(Arranged by Mitsuto Suzuki),
,,,,,
45. Chaos Infusions,,,,(Arranged by Mitsuto Suzuki),
,,,,,
46. Lumina's Theme,,,,(Arranged by Naoshi Mizuta),
Pizzicato String,EastWest - Symphonic Orchestra,Strings -> Solo Violin -> 2 Short,SVL Pizz,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
47. Sneaking In,,,,(Arranged by Naoshi Mizuta),
,,,,,
48. Snow's Theme - Final Words -,,,,(Arranged by Naoshi Mizuta),
,,,,,
49. The Song of the Savior - The Chosen One -,,,,(Arranged by Masashi Hamauzu),
,,,,,
50. The Song of the Savior - Grand Finale -,,,,(Arranged by Masashi Hamauzu),
,,,,,
51. Yusnaan Palace,,,,(Arranged by Naoshi Mizuta),
,,,,,
52. Army of One,,,,(Arranged by Naoshi Mizuta),
,,,,,
53. Overclock,,,,(Arranged by Mitsuto Suzuki),
,,,,,
54. The Coliseum - Fearsome Warriors -,,,,(Arranged by Mitsuto Suzuki),
,,,,,
55. Chocobo Carnivale,,,,(Arranged by Naoshi Mizuta & Masashi Kimura),
,,,,,
56. Nova Chrysalia,,,,(Arranged by Mitsuto Suzuki & Aska Kaneko & Mina Kubota),
,,,,,
57. Endless Lives,,,,(Arranged by Naoshi Mizuta),
,,,,,
58. The Angel's Tears,,,,(Arranged by Mitsuto Suzuki),
,,,,,
59. Lightning's Theme - Radiance -,,,,(Arranged by Masashi Hamauzu),
,,,,,
60. Meeting You,,,,(Arranged by Mitsuto Suzuki & Aska Kaneko & Mina Kubota),
,,,,,
61. Beginning of the End,,,,(Arranged by Masashi Hamauzu),
Church Bells,Spectrasonics - Omnisphere ,Bells and Vibes,Church Bells,,
62. Altar of Light,,,,(Arranged by Mitsuto Suzuki),
,,,,,
63. The Soulsong,,,,(Arranged by Masashi Hamauzu),
,,,,,
64. A New World,,,,(Arranged by Masashi Hamauzu),
,,,,,
65. A Sacred Oratorio,,,,(Arranged by Masashi Hamauzu),
,,,,,
66. The Divine Dream,,,,(Arranged by Mitsuto Suzuki),
,,,,,
67. Cosmogenesis,,,,(Arranged by Mitsuto Suzuki),
,,,,,
68. Divine Love,,,,(Arranged by Naoshi Mizuta),
Choir,Live Recording,,,TO DO: Find who specifically recorded the live sections,
Tubular Bell,EastWest - Symphonic Orchestra,Perc -> Metals,Orch chimes,,
Glockenspiel,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,,
Violin Ensemble,EastWest - Symphonic Orchestra,Strings -> 18 Violins -> 5 Keysw,18V KS Master,Stage mic,
Viola Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Violas -> 5 Keysw,VAS KS Master,Stage mic,
Cello Ensemble,EastWest - Symphonic Orchestra,Strings -> 10 Cellos -> 5 Keysw,VCS KS Master,Stage mic,
Bass Ensemble,EastWest - Symphonic Orchestra,Strings -> 9 Double Basses -> 5 Keysw,CBS KS Master,Stage mic,
French Horn Ensemble,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,Stage mic,
Trumpet Ensemble,EastWest - Symphonic Orchestra,Brass -> 2 Trumpets -> 5 Keysw,2TP KS Master,Stage mic,
Trombone Ensemble,EastWest - Symphonic Orchestra,Brass -> 4 Trombones -> 5 Keysw,4TB KS Master,Stage mic,
Harp,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,Stage mic,
Flute Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> 3 Flutes,3FL KS Master,,
Oboe Ensemble,EastWest - Symphonic Orchestra,Woodwinds -> 3 Oboes,F 3OB DXF Sus,,
Tambourine,EastWest - Symphonic Orchestra,Perc -> Various Perc,Various Perc,,
Anvil,EastWest - Symphonic Orchestra,Perc -> Metals,All Anvils,,
Snare,EastWest - Symphonic Orchestra,Perc -> Drums,3 Snares,,
69. Almighty Bhunivelze,,,,(Arranged by Mitsuto Suzuki & Kengo Tokusashi),
Intro Hit,UNKNOWN,,,,
Church Organ,EastWest - Goliath,GM Bank -> 017-24 ORGAN,20-Church Organ,,
Synth Riser,UNKNOWN,,,,
String FX,UNKNOWN,,,,
Choir Fall,UNKNOWN,,,Definately live,
Synth Fall,UNKNOWN,,,,
Vocals,Live Recording,,,TO DO: Find who specifically recorded the live sections,
Trombone Ensemble,EastWest - Hollywood Brass,,,,
Trumpet Ensemble,EastWest - Hollywood Brass,,,,
Cymbal,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,
Snare Ensemble,UNKNOWN,,,,
Violin Ensemble,UNKNOWN,,,,
Viola Ensemble,UNKNOWN,,,,
Cello Ensemble,UNKNOWN,,,,
Bass Ensemble,UNKNOWN,,,,
Timpani,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,
Synth Bass,UNKNOWN,,,,
Tubular Bells,EastWest - Symphonic Orchestra,Perc -> Metals,Orch chimes,,
Piano,UNKNOWN,,,,
Brass FX,UNKNOWN,,,,
"Distorted Choir ""EE""",Spectrasonics - Omnisphere,Human Voices,Choir FX Avante Garde 1,,
Droning FX,UNKNOWN,,,,
Distortion Effect,UNKNOWN,,,,
Synth Wail,UNKNOWN,,,,
Synth Lead,UNKNOWN,,,,
Xylophone,EastWest - Symphonic Orchestra,Perc -> Wood,Xylophone,,
Synth Wail (2),UNKNOWN,,,,
Brass Decrescendo,EastWest - Hollywood Brass,,,,
Brass Crecendo,Sample: Masashi Hamauzu - Final Fantasy XIII,Disc 3,Track 17 -> TS: 0:00,,
French Horn Ensemble,EastWest - Hollywood Brass,6 French Horns -> 07 Keyswitch,6FH KS Sus_Short C0-G#0,,
String (stacc),UNKNOWN,,,,
Solo Violin,Live Recording,,,,
"""The Ark"" Soprano",UNKNOWN,,,Likely apart of the choir itself,
70. Last Resort,,,,(Arranged by Naoshi Mizuta),
,,,,,
71. Claire Farron,,,,(Arranged by Masashi Hamauzu),
Piano,UNKNOWN,,,,
Synth Bell,UNKNOWN,,,,
String Ensemble,EastWest - Symphonic Orchestra,,,,
Flute,EastWest - Symphonic Orchestra ,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,
Oboe,EastWest - Symphonic Orchestra ,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,,
72. Humanity's Tale,,,,(Arranged by Mitsuto Suzuki),
,,,,,
73. Credits - Light Eternal -,,,,(Arranged by Yohei Kobayashi & Naoshi Mizuta),
Orchestra,Live Recording (Bulgaria Symphony Orchestra),,,,
74. Epilogue,,,,(Arranged by Masashi Hamauzu & Shota Nakama),
,,,,,
,,,,,
Original Soundtrack PLUS,,,,,
,,,,,
1. Lightning Returns (Special Trailer Version),,,,,
,,,,,
3. The Captive Saint,,,,,
,,,,,
8. Lost Souls - Caius & Yeul - ,,,,,
,,,,,
9. A Dying World,,,,,
,,,,,
13. Soul Seeds,,,,,
,,,,,
14. Lightning Returns (Aggressive Mix),,,,,
,,,,,
15. The Onslaught,,,,,
,,,,,
16. Final Fantasy (Yusnaan Ver.) ,,,,,
,,,,,
17. Eternal Winds - The Dead Dunes,,,,,
,,,,,
18. Battle at the Big Bridge (Yusnaan Ver.),,,,,
,,,,,
19. Terra's Theme (Biggs & Wedge Ver.),,,,,
,,,,,
20. A Home Far Away,,,,,
,,,,,
21. Ballad of a Vagabond,,,,,
,,,,,
24. The Savior's Words - Christmas in Nova Chrysalia,,,,,
Choir,Spectrasonics - Omnisphere ,Human Voices,Japanese Children's Choir,,
25. Innkeeper,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
[Notes],,,,,
What wasted potential.,,,,,
