Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo,
Timpani,---,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,,
Bass Drum(?),---,UNKNOWN,,,,,
French Horn Ensemble,---,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,,
Tubular Bells,---,EastWest - Symphonic Orchestra ,Perc -> Metals,Orch chimes,,,
Flute,---,UNKNOWN,,,Sounds like Roland,,
French Horn Ensemble Layer,---,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,,
Trombone Ensemble,---,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,,
Trumpet Ensemble,---,CHECK,,,,,
Staccato Strings,---,Sonic Implants - Symphonic String Collection,07 - Ensemble II -> Ensemble Spiccato,Ensemble Spiccato,,,
Sustain Strings,---,Sonic Implants - Symphonic String Collection,07 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
"33. Crossing Over the Hill from FFXII ""Ozmone Plains""",,,,,,,
Cymbal,---,EastWest - Symphonic Orchestra,Perc -> CymGong,All Cymbals,,,
Tambourine,---,DS Soundware - Ultimate Orchestral Percussion,,,,,
Timpani,---,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,,
Triangle,---,DS Soundware - Ultimate Orchestral Percussion,Orchestral Triangles,Orchestral Triangles,,,
Flute,---,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,,
Oboe Ensemble,---,EastWest - Symphonic Orchestra,Woodwinds -> 3 Oboes -> 5 Keysw,3OB KS Master,,,
Clarinet Ensemble,---,EastWest - Symphonic Orchestra,Woodwinds -> 3 Clarinets -> 5 Keysw,3CL KS Master,,,
Bassoon,---,EastWest - Symphonic Orchestra,Woodwinds -> Bassoon -> 5 Keysw,BSN KS Master,,,
Glockenspiel,---,EastWest - Symphonic Orchestra,Perc -> Metals,Glock,,,
Vibraphone,---,EastWest - Symphonic Orchestra,Perc -> Metals,Vibes,,,
Wood Blocks,---,EastWest - Symphonic Orchestra,Perc -> Wood,Various Percussion,,,
Xylophone,---,EastWest - Symphonic Orchestra,Perc -> Wood,Xylophone,,,
"""Ooh-Aah"" Choir",---,EastWest - Voices of the Apocalypse,Women's Choir V.2,WC ah-oh MOD,,,
Harp,---,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,,
Trumpet,---,CHECK,,,,,
Trumpet,---,CHECK,,,,,
French Horn Ensemble,---,ProjectSAM - SAM Horns,Sam H Key - Basic A (f),Sam H Key - Basic A (f),,,
Pizzicato Strings,---,Sonic Implants - Symphonic Strings Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Sustain Strings,---,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
,---,,,,,,
,---,,,,,,
,---,,,,,,
"35. To The Peak from FFXII ""To The Peak"" (Unused)",,,,,,,
Cymbal,---,DS Soundware - Ultimate Orchestral Percussion,Orchestral Cymbals,Orchestral Cymbals,,,
Tambourine,---,EastWest - Symphonic Orchestra,Perc -> Wood,Various Percussion,,,
Timpani,---,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,,
Flute,---,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute -> 5 Keysw,SFL KS Master,,,
Oboe Ensemble,---,EastWest - Symphonic Orchestra,Woodwinds -> 3 Oboes -> 5 Keysw,3OB KS Master,,,
Bassoon,---,EastWest - Symphonic Orchestra,Woodwinds -> Bassoon -> 5 Keysw,BSN KS Master,,,
Trumpet Ensemble,---,EastWest - Symphonic Orchestra,Brass -> 4 Trumpets -> 5 Keysw,4TP KS Master,,,
French Horn Ensemble,---,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,,
Gong,---,CHECK,,,,,
Timpani,,EastWest - Symphonic Orchestra,Perc -> Drums,Timp Hits LR,,,
Tubular Bell,---,EastWest - Symphonic Orchestra ,Perc -> Metals,Orch chimes,,,
Harp,---,EastWest - Symphonic Orchestra,Strings -> Harp -> 1 Long,Harp Pluck,,,
Violin Ensemble,---,EastWest - Symphonic Orchestra,,,,,
Cello Ensemble,---,EastWest - Symphonic Orchestra,,,,,
Trombone Ensemble,---,ProjectSAM - SAM Trombone,Sam T Key - Basic A (f),Sam T Key - Basic A (f),,,
Pizzicato Strings,---,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Slow String Ensemble,---,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Espressivo,Ensemble Espressivo 3-Layer NR,,,
"38. Sky Pirates from the East from FFXII ""Penelo's Theme""",,,,,,,
Bassoon(?),SWAV 0,EastWest - Symphonic Orchestra,Woodwinds -> Bassoon -> 5 Keysw,BSN KS Master,"Definately present on the OST release, unsure about in-game",,
Castanets,SWAV 1,EastWest - Symphonic Orchestra,Perc -> Wood,Various Percussion,,,
Castanets,SWAV 2,EastWest - Symphonic Orchestra,Perc -> Wood,Various Percussion,,,
Castanets,SWAV 3,EastWest - Symphonic Orchestra,Perc -> Wood,Various Percussion,,,
Clarinet,SWAV 4,EastWest - Symphonic Orchestra,Woodwinds -> Solo Clarinet,CHECK,,,
Clarinet,SWAV 5,EastWest - Symphonic Orchestra,Woodwinds -> Solo Clarinet,CHECK,,,
Clarinet,SWAV 6,EastWest - Symphonic Orchestra,Woodwinds -> Solo Clarinet,CHECK,,,
Flute,SWAV 7,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute ,CHECK,,,
Flute,SWAV 8,EastWest - Symphonic Orchestra,Woodwinds -> Solo Flute ,CHECK,,,
Clarinet,SWAV 9,EastWest - Symphonic Orchestra,Woodwinds -> Solo Clarinet,CHECK,,,
Clarinet,SWAV 10,EastWest - Symphonic Orchestra,Woodwinds -> Solo Clarinet,CHECK,,,
Oboe,SWAV 11,EastWest - Symphonic Orchestra,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,"Definately present on the OST release, unsure about in-game",,
Oboe,SWAV 12,EastWest - Symphonic Orchestra,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,"Definately present on the OST release, unsure about in-game",,
Oboe,SWAV 13,EastWest - Symphonic Orchestra,Woodwinds -> Solo Oboe -> 5 Keysw,SOB KS Master,"Definately present on the OST release, unsure about in-game",,
Pizzicato Strings,SWAV 14,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Pizzicato Strings,SWAV 15,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Pizzicato Strings,SWAV 16,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Pizzicato Strings,SWAV 17,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Pizzicato Strings,SWAV 18,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Pizzicato Strings,SWAV 19,Sonic Implants - Symphonic String Collection,07 Ensemble II -> Ensemble Pizzicato,Ensemble Pizzicato MW>Snap,,,
Sustain Strings,SWAV 20,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
Sustain Strings,SWAV 21,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
Sustain Strings,SWAV 22,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
Sustain Strings,SWAV 23,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
Sustain Strings,SWAV 24,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
Sustain Strings,SWAV 25,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
Sustain Strings,SWAV 26,Sonic Implants - Symphonic String Collection,06 Ensemble I -> Ensemble Legato,Ensemble Legato,,,
Triangle,SWAV 27,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,,
Triangle,SWAV 28,DS Soundware - Ultimate Orchestral Percussion,Med Hard Timpani,Med Hard Timpani,,,
(OST Version only),,,,,,,
Strings,---,,,,,,
French Horn Ensemble,---,EastWest - Symphonic Orchestra,Brass -> 6 French Horns -> 5 Keysw,6FH KS Master,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
[Notes],,,,,,,
Try to list files in order of their in-game index.,,,,,,,
