Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo,
Synth Bell,Sample 32,,,,,,
Synth Bell,Sample 33,,,,,,
Synth Bell,Sample 34,,,,,,
Synth Bass,Sample 35,,,,,,
Synth Bass,Sample 36,,,,,,
37. Battle in the Dungeon #2,,,,,,,
,,,,,,,
38. Blackout,,,,,,,
,,,,,,,
39. Mog House,,,,,,,
,,,,,,,
40. Hopelessness,,,,,,,
Pizzicato Strings,Sample 0,,,,,,
Pizzicato Strings,Sample 1,,,,,,
Pizzicato Strings,Sample 2,,,,,,
Pizzicato Strings,Sample 3,,,,,,
Pizzicato Strings,Sample 4,,,,,,
Pizzicato Strings,Sample 5,,,,,,
Pizzicato Strings,Sample 6,,,,,,
Pizzicato Strings,Sample 7,,,,,,
Pizzicato Strings,Sample 8,,,,,,
Pizzicato Strings,Sample 9,,,,,,
Pizzicato Strings,Sample 10,,,,,,
Pizzicato Strings,Sample 11,,,,,,
Pizzicato Strings,Sample 12,,,,,,
Pizzicato Strings,Sample 13,,,,,,
Pizzicato Strings,Sample 14,,,,,,
Pizzicato Strings,Sample 15,,,,,,
Pizzicato Strings,Sample 16,,,,,,
Pizzicato Strings,Sample 17,,,,,,
Pizzicato Strings,Sample 18,,,,,,
Pizzicato Strings,Sample 19,,,,,,
Pizzicato Strings,Sample 20,,,,,,
Pizzicato Strings,Sample 21,,,,,,
Pizzicato Strings,Sample 22,,,,,,
Pizzicato Strings,Sample 23,,,,,,
Pizzicato Strings,Sample 24,,,,,,
Pizzicato Strings,Sample 25,,,,,,
Flute,Sample 26,,,,,,
Flute,Sample 27,,,,,,
Flute,Sample 28,,,,,,
Flute,Sample 29,,,,,,
Flute,Sample 30,,,,,,
Flute,Sample 31,,,,,,
Flute,Sample 32,,,,,,
Marimba,Sample 33,,,,,,
Marimba,Sample 34,,,,,,
Marimba,Sample 35,,,,,,
Marimba,Sample 36,,,,,,
Marimba,Sample 37,,,,,,
Marimba,Sample 38,,,,,,
Organ,Sample 39,,,,,,
Organ,Sample 40,,,,,,
Organ,Sample 41,,,,,,
Organ,Sample 42,,,,,,
Organ,Sample 43,,,,,,
Organ,Sample 44,,,,,,
Organ,Sample 45,,,,,,
Organ,Sample 46,,,,,,
Organ,Sample 47,,,,,,
Organ,Sample 48,,,,,,
Organ,Sample 49,,,,,,
Organ,Sample 50,,,,,,
Organ,Sample 51,,,,,,
Organ,Sample 52,,,,,,
Hi Hat,Sample 53,,,,,,
Hi Hat,Sample 54,,,,,,
Ride Cymbal,Sample 55,,,,,,
Closed Triangle,Sample 56,,,,,,
Open Triangle,Sample 57,,,,,,
Cymbal Crash,Sample 58,,,,,,
Cymbal Crash,Sample 59,,,,,,
Kick,Sample 60,,,,,,
Kick,Sample 61,,,,,,
Kick,Sample 62,,,,,,
Kick,Sample 63,,,,,,
41. Fury,,,,,,,
,,,,,,,
,,,,,,,
42. Tough Battle,,,,,,,
,,,,,,,
43. Sorrow,,,,,,,
,,,,,,,
"44. Sometime, Somewhere",,,,,,,
,,,,,,,
45. Xarcabard,,,,,,,
Harpsichord,Sample 0,,,,,,
Harpsichord,Sample 1,,,,,,
Harpsichord,Sample 2,,,,,,
Harpsichord,Sample 3,,,,,,
Harpsichord,Sample 4,,,,,,
Harpsichord,Sample 5,,,,,,
Harpsichord,Sample 6,,,,,,
Harpsichord,Sample 7,,,,,,
Harpsichord,Sample 8,,,,,,
Harpsichord,Sample 9,,,,,,
Pizzicato Strings,Sample 10,,,,,,
Pizzicato Strings,Sample 11,,,,,,
Pizzicato Strings,Sample 12,,,,,,
Pizzicato Strings,Sample 13,,,,,,
Pizzicato Strings,Sample 14,,,,,,
Pizzicato Strings,Sample 15,,,,,,
Pizzicato Strings,Sample 16,,,,,,
Pizzicato Strings,Sample 17,,,,,,
Pizzicato Strings,Sample 18,,,,,,
Pizzicato Strings,Sample 19,,,,,,
Bassoon,Sample 20,Miroslav Vitous - Solo Instruments I 2.0,,,,,
Bassoon,Sample 21,Miroslav Vitous - Solo Instruments I 2.0,,,,,
Bassoon,Sample 22,Miroslav Vitous - Solo Instruments I 2.0,,,,,
Bassoon,Sample 23,Miroslav Vitous - Solo Instruments I 2.0,,,,,
Bassoon,Sample 24,Miroslav Vitous - Solo Instruments I 2.0,,,,,
Bassoon,Sample 25,Miroslav Vitous - Solo Instruments I 2.0,,,,,
Bassoon,Sample 26,Miroslav Vitous - Solo Instruments I 2.0,,,,,
Bassoon,Sample 27,Miroslav Vitous - Solo Instruments I 2.0,,,,,
Bassoon,Sample 28,Miroslav Vitous - Solo Instruments I 2.0,,,,,
Bassoon,Sample 29,Miroslav Vitous - Solo Instruments I 2.0,,,,,
Tubular Bell,Sample 30,,,,,,
Tubular Bell,Sample 31,,,,,,
Recorder,Sample 32,Best Service - Early Patches,Partition E -> MOECK,MOEK SOP VEL,,,
Recorder,Sample 33,Best Service - Early Patches,Partition E -> MOECK,MOEK SOP VEL,,,
Recorder,Sample 34,Best Service - Early Patches,Partition E -> MOECK,MOEK SOP VEL,,,
Recorder,Sample 35,Best Service - Early Patches,Partition E -> MOECK,MOEK SOP VEL,,,
Recorder,Sample 36,Best Service - Early Patches,Partition E -> MOECK,MOEK SOP VEL,,,
Recorder,Sample 37,Best Service - Early Patches,Partition E -> MOECK,MOEK SOP VEL,,,
Pan Flute,Sample 38,Best Service - Early Patches,Partition E -> PANFLUTE,PANFLUTE VEL,,,
Pan Flute,Sample 39,Best Service - Early Patches,Partition E -> PANFLUTE,PANFLUTE VEL,,,
Pan Flute,Sample 40,Best Service - Early Patches,Partition E -> PANFLUTE,PANFLUTE VEL,,,
Pan Flute,Sample 41,Best Service - Early Patches,Partition E -> PANFLUTE,PANFLUTE VEL,,,
Pan Flute,Sample 42,Best Service - Early Patches,Partition E -> PANFLUTE,PANFLUTE VEL,,,
Pan Flute,Sample 43,Best Service - Early Patches,Partition E -> PANFLUTE,PANFLUTE VEL,,,
Marimba,Sample 44,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,
Marimba,Sample 45,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,
Marimba,Sample 46,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,
Marimba,Sample 47,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,
Marimba,Sample 48,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,
Marimba,Sample 49,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,
Marimba,Sample 50,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,
Marimba,Sample 51,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,
Marimba,Sample 52,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,
Marimba,Sample 53,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,
Marimba,Sample 54,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,
Marimba,Sample 55,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,
Marimba,Sample 56,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,
Marimba,Sample 57,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,
Marimba,Sample 58,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,
Marimba,Sample 59,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,
Marimba,Sample 60,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,
Marimba,Sample 61,Sampleheads - Dave Samuels - Marimba & Vibes,Partition B -> MRMBA HARD F,MRMBAHRD F A,,,
46. Despair (Memoro de la S^tono),,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
47. Castle Zvahl,,,,,,,
,,,,,,,
48. Shadow Lord,,,,,,,
,,,,,,,
49. Awakening,,,,,,,
Glockenspiel,Sample 0,,,,,,
Glockenspiel,Sample 1,,,,,,
Glockenspiel,Sample 2,,,,,,
String Ensemble,Sample 3,,,,,,
String Ensemble,Sample 4,,,,,,
String Ensemble,Sample 5,,,,,,
String Ensemble,Sample 6,,,,,,
String Ensemble,Sample 7,,,,,,
String Ensemble,Sample 8,,,,,,
String Ensemble,Sample 9,,,,,,
String Ensemble,Sample 10,,,,,,
Choir,Sample 11,Best Service - Classical Choir,Partition C -> AHH SL 16 MB,Ahh 3M,,,
Choir,Sample 12,Best Service - Classical Choir,Partition C -> AHH SL 16 MB,Ahh 3M,,,
Choir,Sample 13,Best Service - Classical Choir,Partition C -> AHH SL 16 MB,Ahh 3M,,,
Choir,Sample 14,Best Service - Classical Choir,Partition C -> AHH SL 16 MB,Ahh 3M,,,
Choir,Sample 15,Best Service - Classical Choir,Partition C -> AHH SL 16 MB,Ahh 3M,,,
Choir,Sample 16,Best Service - Classical Choir,Partition C -> AHH SL 16 MB,Ahh 3M,,,
Choir,Sample 17,Best Service - Classical Choir,Partition C -> AHH SL 16 MB,Ahh 3M,,,
Choir,Sample 18,Best Service - Classical Choir,Partition C -> AHH SL 16 MB,Ahh 3M,,,
Tom,Sample 19,,,,,,
Tom,Sample 20,,,,,,
Percussion Hit,Sample 21,,,,,,
Percussion Hit,Sample 22,,,,,,
Percussion Hit,Sample 23,,,,,,
Harp,Sample 24,,,,,,
Harp,Sample 25,,,,,,
Harp,Sample 26,,,,,,
Harp,Sample 27,,,,,,
Harp,Sample 28,,,,,,
Harp,Sample 29,,,,,,
Snare,Sample 30,Best Service - Advanced Orchestra,CD 5 -> Partition C -> 08 SN HITS,SN FF TO PP,,,
Snare,Sample 31,Best Service - Advanced Orchestra,CD 5 -> Partition C -> 08 SN HITS,SN FF TO PP,,,
Snare Roll,Sample 32,Best Service - Advanced Orchestra,CD 5 -> Partition C -> 08 SN HITS,SN FF TO PP,,,
Synth Hit,Sample 33,EastWest - Percussive Adventures,030 Professional -> 30-PF-120,30-PF-120,PFHAC1 -LR,,
Tom,Sample 34,,,,,,
Tom,Sample 35,,,,,,
Tom,Sample 36,,,,,,
Tom Loop,Sample 37,,,,,,
Tom Loop,Sample 38,,,,,,
Piano(?) Hit,Sample 39,,,,,,
Whip,Sample 40,,,,,,
String Staccato,Sample 41,Best Service - Advanced Orchestra,,,,,
String Staccato,Sample 42,Best Service - Advanced Orchestra,,,,,
String Staccato,Sample 43,Best Service - Advanced Orchestra,,,,,
String Staccato,Sample 44,Best Service - Advanced Orchestra,,,,,
String Staccato,Sample 45,Best Service - Advanced Orchestra,,,,,
Flute(?),Sample 46,,,,,,
Flute(?),Sample 47,,,,,,
Flute,Sample 48,,,,,,
Flute,Sample 49,,,,,,
Flute,Sample 50,,,,,,
Flute,Sample 51,,,,,,
Trumpet,Sample 52,Best Service - Advanced Orchestra,,,,,
Trumpet,Sample 53,Best Service - Advanced Orchestra,,,,,
Trumpet,Sample 54,Best Service - Advanced Orchestra,,,,,
Trumpet,Sample 55,Best Service - Advanced Orchestra,,,,,
Trumpet,Sample 56,Best Service - Advanced Orchestra,,,,,
Gong,Sample 57,,,,,,
Cymbal Sustain,Sample 58,,,,,,
Shaker,Sample 59,,,,,,
50. Repression (Memoro de la S^tono),,,,,,,
,,,,,,,
51. Vana'diel March #2,,,,,,,
,,,,,,,
,,,,,,,
Section 2 - Rise of the Zilart,,,,,,,
,,,,,,,
1. Kazham,,,,,,,
,,,,,,,
2. Yuhtunga Jungle,,,,,,,
,,,,,,,
3. Battle Theme #3,,,,,,,
,,,,,,,
"4. ""Dash de Chocobo""",,,,,,,
,,,,,,,
5. Rabao,,,,,,,
,,,,,,,
6. Altepa Desert,,,,,,,
,,,,,,,
7. Battle in the Dungeon #3,,,,,,,
,,,,,,,
8. Grav'iton,,,,,,,
,,,,,,,
9. Norg,,,,,,,
,,,,,,,
10. Tough Battle #2,,,,,,,
,,,,,,,
11. The Sanctuary of Zi'Tah,,,,,,,
,,,,,,,
12. Ro'Maeve,,,,,,,
,,,,,,,
13. Hall of the Gods,,,,,,,
,,,,,,,
14. Fighters of the Crystal,,,,,,,
,,,,,,,
15. Tu'Lia,,,,,,,
,,,,,,,
16. Ve'Lugannon Palace,,,,,,,
,,,,,,,
17. Eald'narche,,,,,,,
,,,,,,,
18. Belief,,,,,,,
,,,,,,,
19. End Theme,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Section 3 - Chains of Promathia,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Section 4 - Treasures of Aht Urhgan,,,,,,,
,,,,,,,
1. Bustle of the Capital,,,,,,,
Acoustic Guitar,,EastWest - Ra,Americas -> Plucked -> 1890 Wburn Guitar,Washbrn GTR KS C0-D#0,,,
Uilleann Pipes,,EastWest - Ra,Europe -> Wind -> Uilleann Pipes,Uilleann Pipes KS C0-D#0,,,
Tabla,,KORG - TRITON,Program 116,Orchestral&Ethnic,"Notes F6, G6, G#6, A#6",,
20. Eternal Gravestone,,,,,,,
Violin,,EastWest - Symphonic Orchestra,Strings -> Solo Violin,SVL KS Master,,,
Field Drum,,EastWest - Symphonic Orchestra,Perc -> Drums,Field Funeral Tenor,,,
23. Iron Colossus,,,,,,,
Clarinet,Sample 0,,,,,,
Clarinet,Sample 1,,,,,,
Clarinet,Sample 2,,,,,,
Clarinet,Sample 3,,,,,,
Clarinet,Sample 4,,,,,,
String Staccato,Sample 5,,,,,,
String Staccato,Sample 6,,,,,,
Orchestral Hit,Sample 7,,,,,,
Orchestral Hit,Sample 8,,,,,,
Orchestral Hit,Sample 9,,,,,,
Orchestral Hit,Sample 10,,,,,,
String Staccato,Sample 11,,,,,,
String Staccato,Sample 12,,,,,,
String Staccato,Sample 13,,,,,,
String Staccato,Sample 14,,,,,,
String Staccato Interval,Sample 15,,,,,,
String Staccato Interval,Sample 16,,,,,,
String Staccato Interval,Sample 17,,,,,,
String Staccato,Sample 18,,,,,,
String Staccato,Sample 19,,,,,,
String Staccato,Sample 20,,,,,,
String Staccato Interval,Sample 21,,,,,,
String Staccato Interval,Sample 22,,,,,,
String Staccato,Sample 23,,,,,,
String Staccato,Sample 24,,,,,,
String Staccato Interval,Sample 25,,,,,,
String Staccato Interval,Sample 26,,,,,,
String Spiccato,Sample 27,,,,,,
String Spiccato,Sample 28,,,,,,
String Spiccato,Sample 29,,,,,,
String Spiccato,Sample 30,,,,,,
String Spiccato,Sample 31,,,,,,
String Spiccato,Sample 32,,,,,,
String Spiccato,Sample 33,,,,,,
String Spiccato,Sample 34,,,,,,
String Spiccato,Sample 35,,,,,,
String Spiccato,Sample 36,,,,,,
String Spiccato,Sample 37,,,,,,
String Spiccato,Sample 38,,,,,,
String Spiccato,Sample 39,,,,,,
String Spiccato,Sample 40,,,,,,
String Spiccato,Sample 41,,,,,,
String Spiccato,Sample 42,,,,,,
String Spiccato,Sample 43,,,,,,
String Spiccato,Sample 44,,,,,,
String Spiccato,Sample 45,,,,,,
String Spiccato,Sample 46,,,,,,
Flute,Sample 47,,,,,,
Flute,Sample 48,,,,,,
Flute,Sample 49,,,,,,
Flute,Sample 50,,,,,,
Flute,Sample 51,,,,,,
String Spiccato,Sample 52,,,,,,
String Spiccato,Sample 53,,,,,,
String Spiccato,Sample 54,,,,,,
String Spiccato,Sample 55,,,,,,
String Ensemble,Sample 56,,,,,,
String Ensemble,Sample 57,,,,,,
String Ensemble,Sample 58,,,,,,
String Ensemble,Sample 59,,,,,,
String Ensemble,Sample 60,,,,,,
String Ensemble,Sample 61,,,,,,
String Ensemble,Sample 62,,,,,,
String Ensemble,Sample 63,,,,,,
String Ensemble,Sample 64,,,,,,
String Ensemble,Sample 65,,,,,,
String Ensemble,Sample 66,,,,,,
String Ensemble,Sample 67,,,,,,
Timpani,Sample 68,,,,,,
Timpani,Sample 69,,,,,,
Timpani,Sample 70,,,,,,
Timpani,Sample 71,,,,,,
Timpani,Sample 72,,,,,,
Timpani,Sample 73,,,,,,
Timpani,Sample 74,,,,,,
Timpani,Sample 75,,,,,,
Timpani,Sample 76,,,,,,
Timpani,Sample 77,,,,,,
Timpani,Sample 78,,,,,,
Timpani,Sample 79,,,,,,
Timpani,Sample 80,,,,,,
Timpani,Sample 81,,,,,,
Timpani,Sample 82,,,,,,
Timpani,Sample 83,,,,,,
String Ensemble,Sample 84,,,,,,
String Ensemble,Sample 85,,,,,,
Trombone Staccato,Sample 86,,,,,,
Trombone Staccato,Sample 87,,,,,,
Trombone Staccato,Sample 88,,,,,,
Trombone Staccato,Sample 89,,,,,,
Trombone Ensemble,Sample 90,,,,,,
Trombone Ensemble,Sample 91,,,,,,
Trombone Staccato,Sample 92,,,,,,
Trombone Staccato,Sample 93,,,,,,
Trombone Ensemble,Sample 94,,,,,,
Trombone Ensemble,Sample 95,,,,,,
Trombone Staccato,Sample 96,,,,,,
Trombone Staccato,Sample 97,,,,,,
Trombone Ensemble,Sample 98,,,,,,
Trombone Ensemble,Sample 99,,,,,,
Trombone Ensemble,Sample 100,,,,,,
Trombone Ensemble,Sample 101,,,,,,
Glockenspiel,Sample 102,,,,,,
French Horn Short Phrase,Sample 103,,,,,,
French Horn Short Phrase,Sample 104,,,,,,
French Horn Staccato,Sample 105,,,,,,
French Horn Staccato,Sample 106,,,,,,
French Horn Staccato,Sample 107,,,,,,
French Horn Staccato,Sample 108,,,,,,
French Horn Staccato,Sample 109,,,,,,
French Horn Staccato,Sample 110,,,,,,
French Horn Staccato,Sample 111,,,,,,
French Horn Staccato,Sample 112,,,,,,
French Horn Staccato,Sample 113,,,,,,
French Horn Staccato,Sample 114,,,,,,
French Horn Staccato,Sample 115,,,,,,
French Horn Staccato,Sample 116,,,,,,
24. Ragnarok,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Section 5 - Wings of the Goddess,,,,,,,
,,,,,,,
10. The Cosmic Wheel,,,,,,,
Acoustic Bass,Sample 0,,,,,,
Acoustic Bass,Sample 1,,,,,,
Acoustic Bass,Sample 2,,,,,,
Acoustic Bass,Sample 3,,,,,,
Acoustic Bass,Sample 4,,,,,,
Acoustic Bass,Sample 5,,,,,,
Acoustic Bass,Sample 6,,,,,,
Percussion Loop,Sample 7,,,,,,
Percussion Loop,Sample 8,,,,,,
Percussion Loop,Sample 9,,,,,,
Percussion Loop,Sample 10,,,,,,
Percussion Loop,Sample 11,,,,,,
Percussion Loop,Sample 12,,,,,,
Dobro,Sample 13,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 14,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 15,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 16,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 17,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 18,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 19,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 20,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 21,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 22,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Irish Whistle,Sample 23,EastWest - Ra,Europe -> Wind -> Ir Low Whistle,IRL Lo Whis KS C0-B0,,,
Irish Whistle,Sample 24,EastWest - Ra,Europe -> Wind -> Ir Low Whistle,IRL Lo Whis KS C0-B0,,,
Irish Whistle,Sample 25,EastWest - Ra,Europe -> Wind -> Ir Low Whistle,IRL Lo Whis KS C0-B0,,,
Irish Whistle,Sample 26,EastWest - Ra,Europe -> Wind -> Ir Low Whistle,IRL Lo Whis KS C0-B0,,,
Irish Whistle,Sample 27,EastWest - Ra,Europe -> Wind -> Ir Low Whistle,IRL Lo Whis KS C0-B0,,,
Irish Whistle,Sample 28,EastWest - Ra,Europe -> Wind -> Ir Low Whistle,IRL Lo Whis KS C0-B0,,,
Irish Whistle,Sample 29,EastWest - Ra,Europe -> Wind -> Ir Low Whistle,IRL Lo Whis KS C0-B0,,,
Irish Whistle,Sample 30,EastWest - Ra,Europe -> Wind -> Ir Low Whistle,IRL Lo Whis KS C0-B0,,,
Irish Whistle,Sample 31,EastWest - Ra,Europe -> Wind -> Ir Low Whistle,IRL Lo Whis KS C0-B0,,,
Irish Whistle,Sample 32,EastWest - Ra,Europe -> Wind -> Ir Low Whistle,IRL Lo Whis KS C0-B0,,,
Irish Whistle,Sample 33,EastWest - Ra,Europe -> Wind -> Ir Low Whistle,IRL Lo Whis KS C0-B0,,,
Irish Whistle,Sample 34,EastWest - Ra,Europe -> Wind -> Ir Low Whistle,IRL Lo Whis KS C0-B0,,,
Irish Whistle,Sample 35,EastWest - Ra,Europe -> Wind -> Ir Low Whistle,IRL Lo Whis KS C0-B0,,,
Irish Whistle,Sample 36,EastWest - Ra,Europe -> Wind -> Ir Low Whistle,IRL Lo Whis KS C0-B0,,,
Kalimba,Sample 37,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Kalimba,Sample 38,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Kalimba,Sample 39,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 40,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 41,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 42,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 43,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 44,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 45,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 46,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 47,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 48,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 49,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 50,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 51,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 52,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Dobro,Sample 53,EastWest - Ra,Americas -> Plucked -> Dobro,Dobro KS C0-D1,,,
Synth Choir,Sample 54,,,,,,
Synth Choir,Sample 55,,,,,,
Synth Choir,Sample 56,,,,,,
Synth Choir,Sample 57,,,,,,
Synth Choir,Sample 58,,,,,,
Synth Choir,Sample 59,,,,,,
Synth Choir,Sample 60,,,,,,
Synth Choir,Sample 61,,,,,,
Synth Choir,Sample 62,,,,,,
Synth Choir,Sample 63,,,,,,
Recorder,Sample 64,,,,,,
Recorder,Sample 65,,,,,,
Recorder,Sample 66,,,,,,
Recorder,Sample 67,,,,,,
Recorder,Sample 68,,,,,,
Recorder,Sample 69,,,,,,
18. Where Lords Rule Not,,,,,,,
Hi-Hat,,,,,,,
Udu Loop,,EastWest - Percussive Adventures 2,PA2 Instruments wTempo,TRACKER 2 120 bpm,Note C3,,
11. Everlasting Bonds,,,,,,,
Acoustic Bass,Sample 0,,,,,,
Acoustic Bass,Sample 1,,,,,,
Acoustic Bass,Sample 2,,,,,,
Acoustic Bass,Sample 3,,,,,,
Electric Piano,Sample 4,,,,,,
Electric Piano,Sample 5,,,,,,
Electric Piano,Sample 6,,,,,,
Electric Piano,Sample 7,,,,,,
Electric Piano,Sample 8,,,,,,
Violin Phrase,Sample 9,,,,,,
Violin Phrase,Sample 10,,,,,,
Violin Phrase,Sample 11,,,,,,
Violin Phrase,Sample 12,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Section 6 - Seekers of Adoulin,,,,,,,
,,,,,,,
Clavinet,Sample 0,,,,,,
Clavinet,Sample 1,,,,,,
Clavinet,Sample 2,,,,,,
Clavinet,Sample 3,,,,,,
Clavinet,Sample 4,,,,,,
Clavinet,Sample 5,,,,,,
String Staccato,Sample 6,,,,,,
String Staccato,Sample 7,,,,,,
String Staccato,Sample 8,,,,,,
Electric Guitar,Sample 9,,,,,,
Electric Guitar,Sample 10,,,,,,
Electric Guitar,Sample 11,,,,,,
Electric Guitar,Sample 12,,,,,,
Electric Guitar,Sample 13,,,,,,
Oboe,Sample 14,,,,,,
Oboe,Sample 15,,,,,,
Oboe,Sample 16,,,,,,
Oboe,Sample 17,,,,,,
String Staccato,Sample 18,,,,,,
String Staccato,Sample 19,,,,,,
String Staccato,Sample 20,,,,,,
String Staccato,Sample 21,,,,,,
String Staccato,Sample 22,,,,,,
String Staccato,Sample 23,,,,,,
String Staccato,Sample 24,,,,,,
String Staccato,Sample 25,,,,,,
String Ensemble,Sample 26,,,,,,
String Ensemble,Sample 27,,,,,,
String Ensemble,Sample 28,,,,,,
String Ensemble,Sample 29,,,,,,
String Ensemble,Sample 30,,,,,,
