Sample Description,Sample #,Source,Path/Bank,Preset,Notes,Demo,,
Analog Bell,Sample 7,Roland - SR-JV80-04 Vintage Synth,XP-X,073 Analog Chime,,,,
Analog Bell,Sample 8,Roland - SR-JV80-04 Vintage Synth,XP-X,073 Analog Chime,,,,
Drum Loop,Sample 9,Zero-G - Cuckooland Vol. 1 Unhinged,Track 40 - LOOPS -> TS 0:00,“Life On Mars” 109.2,,,,
Drum Loop,Sample 10,Zero-G - Cuckooland Vol. 1 Unhinged,Track 40 - LOOPS -> TS 0:00,“Life On Mars” 109.2,,,,
Drum Loop,Sample 11,Zero-G - Cuckooland Vol. 1 Unhinged,Track 40 - LOOPS -> TS 0:00,“Life On Mars” 109.2,,,,
Drum FX,Sample 12,Zero-G - Cuckooland Vol. 1 Unhinged,Track 40 - LOOPS -> TS 0:00,“Life On Mars” 109.2,,,,
Drum FX,Sample 13,Zero-G - Cuckooland Vol. 1 Unhinged,Track 40 - LOOPS -> TS 0:00,“Life On Mars” 109.2,,,,
Sticks,Sample 14,Zero-G - Cuckooland Vol. 1 Unhinged,Track 40 - LOOPS -> TS 0:00,“Life On Mars” 109.2,,,,
Drum Loop,Sample 15,Zero-G - Cuckooland Vol. 1 Unhinged,Track 40 - LOOPS -> TS 0:00,“Life On Mars” 109.2,,,,
Drum Loop,Sample 16,Zero-G - Cuckooland Vol. 1 Unhinged,Track 40 - LOOPS -> TS 0:00,“Life On Mars” 109.2,,,,
Synth Bass,Sample 17,Roland - SR-JV80-04 Vintage Synth,XP-X,096 MKS80 Sprang,,,,
Synth Bass,Sample 18,Roland - SR-JV80-04 Vintage Synth,XP-X,096 MKS80 Sprang,,,,
Snare Roll,Sample 19,,,,,,,
Bass Drum,Sample 20,,,,,,,
Snare,Sample 21,,,,,,,
Cymbal,Sample 22,,,,,,,
String Ensemble,Sample 23,,,,,,,
String Ensemble,Sample 24,,,,,,,
String Ensemble,Sample 25,,,,,,,
String Ensemble,Sample 26,,,,,,,
String Ensemble,Sample 27,,,,,,,
String Ensemble,Sample 28,,,,,,,
String Ensemble,Sample 29,,,,,,,
Piano,Sample 30,,,,,,,
Piano,Sample 31,,,,,,,
Piano,Sample 32,,,,,,,
Piano,Sample 33,,,,,,,
Piano,Sample 34,,,,,,,
19. Spira Unplugged,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
Nylon Guitar,Sample 0,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 1,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 2,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 3,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 4,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 5,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 6,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 7,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 8,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 9,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 10,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 11,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 12,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 13,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 14,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 15,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 16,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 17,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 18,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 19,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 20,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 21,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 22,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 23,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 24,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 25,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 26,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 27,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 28,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 29,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 30,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 31,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 32,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 33,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 34,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 35,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 36,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 37,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 38,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 39,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 40,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 41,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 42,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 43,EastWest - Quantum Leap Guitar & Bass,Partition C -> VOLUME 002,CLSCFGRVB  1,,,,
Nylon Guitar,Sample 44,EastWest - Quantum Leap Guitar & Bass,,,,,,
Guitar Harmonics,Sample 45,EastWest - Quantum Leap Guitar & Bass,,,,,,
Knock FX,Sample 46,EastWest - Quantum Leap Guitar & Bass,,,,,,
Guitar Harmonics,Sample 47,EastWest - Quantum Leap Guitar & Bass,,,,,,
Knock FX,Sample 48,EastWest - Quantum Leap Guitar & Bass,,,,,,
Guitar Harmonics,Sample 49,EastWest - Quantum Leap Guitar & Bass,,,,,,
Knock FX,Sample 50,EastWest - Quantum Leap Guitar & Bass,,,,,,
Guitar Harmonics,Sample 51,EastWest - Quantum Leap Guitar & Bass,,,,,,
20. Hum of the Fayth,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
Choir,Sample 0,Live Recording (See Note),,,,,,
21. Phantoms,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
Tambourine,Sample 0,,,,,,,
Tambourine,Sample 1,,,,,,,
Glockenspiel,Sample 2,,,,,,,
Glockenspiel,Sample 3,,,,,,,
Glockenspiel,Sample 4,,,,,,,
Glockenspiel,Sample 5,,,,,,,
Glockenspiel,Sample 6,,,,,,,
Glockenspiel,Sample 7,,,,,,,
Udu Pot,Sample 8,,,,,,,
Conga Drum,Sample 9,,,,,,,
Conga Drum,Sample 10,,,,,,,
Finger Cymbal,Sample 11,Roland - SOUND Canvas SC-88Pro,SC-88Pro Map -> Drum Set,053 ASIA,To Do: Find Key,,,
Finger Cymbal,Sample 12,Roland - SOUND Canvas SC-88Pro,SC-88Pro Map -> Drum Set,053 ASIA,To Do: Find Key,,,
Synth Pad,Sample 13,UNKNOWN,,,,,,
Synth Pad,Sample 14,UNKNOWN,,,,,,
Synth Pad,Sample 15,UNKNOWN,,,,,,
Synth Pad,Sample 16,UNKNOWN,,,,,,
Synth Pad,Sample 17,UNKNOWN,,,,,,
Synth Pad,Sample 18,UNKNOWN,,,,,,
Synth Pad,Sample 19,UNKNOWN,,,,,,
Synth Pad,Sample 20,UNKNOWN,,,,,,
Synth Pad,Sample 21,UNKNOWN,,,,,,
Piano,Sample 22,UNKNOWN,,,,,,
Piano,Sample 23,UNKNOWN,,,,,,
Piano,Sample 24,UNKNOWN,,,,,,
Piano,Sample 25,UNKNOWN,,,,,,
Piano,Sample 26,UNKNOWN,,,,,,
Piano,Sample 27,UNKNOWN,,,,,,
Piano,Sample 28,UNKNOWN,,,,,,
Piano,Sample 29,UNKNOWN,,,,,,
String Ensemble,Sample 30,UNKNOWN,,,,,,
String Ensemble,Sample 31,UNKNOWN,,,,,,
String Ensemble,Sample 32,UNKNOWN,,,,,,
String Ensemble,Sample 33,UNKNOWN,,,,,,
String Ensemble,Sample 34,UNKNOWN,,,,,,
String Ensemble,Sample 35,UNKNOWN,,,,,,
String Ensemble,Sample 36,UNKNOWN,,,,,,
String Ensemble,Sample 37,UNKNOWN,,,,,,
Wind SFX,Sample 38,UNKNOWN,,,,,,
Wind SFX,Sample 39,UNKNOWN,,,,,,
22. The Trials ,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Angklung,Sample 0,UNKNOWN,,,,,,
Angklung,Sample 1,UNKNOWN,,,,,,
Reed(?) Instrument,Sample 2,UNKNOWN,,,,,,
Reed(?) Instrument,Sample 3,UNKNOWN,,,,,,
Saxophone,Sample 4,UNKNOWN,,,,,,
Pizzicato String,Sample 5,UNKNOWN,,,,,,
Pizzicato String,Sample 6,UNKNOWN,,,,,,
Pizzicato String,Sample 7,UNKNOWN,,,,,,
Pizzicato String,Sample 8,UNKNOWN,,,,,,
Pizzicato String,Sample 9,UNKNOWN,,,,,,
Pizzicato String,Sample 10,UNKNOWN,,,,,,
Triangle,Sample 11,UNKNOWN,,,,,,
Triangle,Sample 12,UNKNOWN,,,,,,
Sleigh Bell,Sample 13,UNKNOWN,,,,,,
Djembe(?),Sample 14,UNKNOWN,,,,,,
Djembe(?),Sample 15,UNKNOWN,,,,,,
Sitar,Sample 16,Roland - SOUND Canvas SC-8820,SC-88 Map,105 002 Detuned Sitar,,,,
String Ensemble,Sample 17,UNKNOWN,,,,,,
String Ensemble,Sample 18,UNKNOWN,,,,,,
Flanger Synth,Sample 19,UNKNOWN,,,,,,
Flanger Synth,Sample 20,UNKNOWN,,,,,,
Flanger Synth,Sample 21,UNKNOWN,,,,,,
Flanger Synth,Sample 22,UNKNOWN,,,,,,
Tubular Bell,Sample 23,UNKNOWN,,,,,,
Saxophone,Sample 24,UNKNOWN,,,,,,
Saxophone,Sample 25,UNKNOWN,,,,,,
Saxophone,Sample 26,UNKNOWN,,,,,,
Chanting,Sample 27,UNKNOWN,,,,,,
23. Hymn - Valefor ,,,,,,,,
,Sample 0,,,,,,,
24. The Summoning ,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
Flute,Sample 0,UNKNOWN,,,,,,
Flute,Sample 1,UNKNOWN,,,,,,
Flute,Sample 2,UNKNOWN,,,,,,
Glockenspiel,Sample 3,Roland - SOUND CANVAS SC-88Pro,SC-88Pro Map,010 000 Glockenspiel,,,,
Glockenspiel,Sample 4,Roland - SOUND CANVAS SC-88Pro,SC-88Pro Map,010 000 Glockenspiel,,,,
Harp,Sample 5,UNKNOWN,,,,,,
Harp,Sample 6,UNKNOWN,,,,,,
String Ensemble,Sample 7,UNKNOWN,,,,,,
String Ensemble,Sample 8,UNKNOWN,,,,,,
String Ensemble,Sample 9,UNKNOWN,,,,,,
String Ensemble,Sample 10,UNKNOWN,,,,,,
Dulcimer,Sample 11,UNKNOWN,,,,,,
Dulcimer,Sample 12,UNKNOWN,,,,,,
Staccato String,Sample 13,UNKNOWN,,,,,,
Staccato String,Sample 14,UNKNOWN,,,,,,
Oboe,Sample 15,Roland - SOUND CANVAS SC-88Pro,SC-88Pro Map,000 069 Oboe,,,,
Oboe,Sample 16,Roland - SOUND CANVAS SC-88Pro,SC-88Pro Map,000 069 Oboe,,,,
Oboe,Sample 17,Roland - SOUND CANVAS SC-88Pro,SC-88Pro Map,000 069 Oboe,,,,
Synth Pad,Sample 18,UNKNOWN,,,,,,
Synth Pad,Sample 19,UNKNOWN,,,,,,
Glockenspiel,Sample 20,UNKNOWN,,,,,,
Clarinet,Sample 21,Roland - JV-1080,PR-B,106 ClariExpress,,,,
Clarinet,Sample 22,Roland - SOUND CANVAS SC-88Pro,SC-88Pro Map,000 072 Clarinet,,,,
Clarinet,Sample 23,Roland - SOUND CANVAS SC-88Pro,SC-88Pro Map,000 072 Clarinet,,,,
Solo French Horn,Sample 24,Roland - SOUND CANVAS SC-88Pro,SC-88Pro Map,061 008 F.Hrn Slow:,,,,
Solo French Horn,Sample 25,Roland - SOUND CANVAS SC-88Pro,SC-88Pro Map,061 008 F.Hrn Slow:,,,,
French Horn,Sample 26,Roland - SOUND CANVAS SC-88Pro,SC-88Pro Map,061 000 French Horns,,,,
French Horn,Sample 27,Roland - SOUND CANVAS SC-88Pro,SC-88Pro Map,061 000 French Horns,,,,
25. Braska's Daughter,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Tamtam,Sample 0,Roland - SOUND Canvas SC-8820,SC-8820 Map -> Drum Set,050 ETHNIC,To Do: Find Key,,,
Tinkle Bell,Sample 1,Roland - SOUND Canvas SC-8820,SC-8820 Map -> Drum Set,050 ETHNIC,To Do: Find Key,,,
Triangle,Sample 2,Roland - SOUND Canvas SC-8820,SC-8820 Map -> Drum Set,FILL IN,,,,
Triangle,Sample 3,Roland - SOUND Canvas SC-8820,SC-8820 Map -> Drum Set,FILL IN,,,,
Synth Pad,Sample 4,UNKNOWN,,,,,,
Synth Pad,Sample 5,UNKNOWN,,,,,,
Pizzicato String,Sample 6,Roland - SOUND Canvas SC-8820,SC-8820 Map,000 046 PizzicatoStr,,,,
Pizzicato String,Sample 7,Roland - SOUND Canvas SC-8820,SC-8820 Map,000 046 PizzicatoStr,,,,
Pizzicato String,Sample 8,Roland - SOUND Canvas SC-8820,SC-8820 Map,000 046 PizzicatoStr,,,,
Pizzicato String,Sample 9,Roland - SOUND Canvas SC-8820,SC-8820 Map,000 046 PizzicatoStr,,,,
Pizzicato String,Sample 10,Roland - SOUND Canvas SC-8820,SC-8820 Map,000 046 PizzicatoStr,,,,
Pizzicato String,Sample 11,Roland - SOUND Canvas SC-8820,SC-8820 Map,000 046 PizzicatoStr,,,,
Pizzicato String,Sample 12,Roland - SOUND Canvas SC-8820,SC-8820 Map,000 046 PizzicatoStr,,,,
Vibraphone,Sample 13,Roland - SOUND Canvas SC-8820,SC-8820 Map,000 012 Vibraphone,,,,
Vibraphone,Sample 14,Roland - SOUND Canvas SC-8820,SC-8820 Map,000 012 Vibraphone,,,,
Vibraphone,Sample 15,Roland - SOUND Canvas SC-8820,SC-8820 Map,000 012 Vibraphone,,,,
Vibraphone,Sample 16,Roland - SOUND Canvas SC-8820,SC-8820 Map,000 012 Vibraphone,,,,
Whistle,Sample 17,Roland - SOUND Canvas SC-8820,SC-8820 Map,000 079 Whistle,,,,
Whistle,Sample 18,Roland - SOUND Canvas SC-8820,SC-8820 Map,000 079 Whistle,,,,
Whistle,Sample 19,Roland - SOUND Canvas SC-8820,SC-8820 Map,000 079 Whistle,,,,
26. Good Night,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Electric Piano,Sample 0,,,,,,,
Electric Piano,Sample 1,,,,,,,
27. Yuna's Theme,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Flute,Sample 0,UNKNOWN,,,,,,
Flute,Sample 1,UNKNOWN,,,,,,
Flute,Sample 2,UNKNOWN,,,,,,
Flute,Sample 3,UNKNOWN,,,,,,
Flute,Sample 4,UNKNOWN,,,,,,
Electric Piano,Sample 5,Roland - SOUND Canvas SC-8820,SC-8820 Map,005 000 E.Piano 1,,,,
Electric Piano,Sample 6,Roland - SOUND Canvas SC-8820,SC-8820 Map,005 000 E.Piano 1,,,,
Electric Piano,Sample 7,Roland - SOUND Canvas SC-8820,SC-8820 Map,005 000 E.Piano 1,,,,
Electric Piano,Sample 8,Roland - SOUND Canvas SC-8820,SC-8820 Map,005 000 E.Piano 1,,,,
Electric Piano,Sample 9,Roland - SOUND Canvas SC-8820,SC-8820 Map,005 000 E.Piano 1,,,,
Electric Piano,Sample 10,Roland - SOUND Canvas SC-8820,SC-8820 Map,005 000 E.Piano 1,,,,
Electric Piano,Sample 11,Roland - SOUND Canvas SC-8820,SC-8820 Map,005 000 E.Piano 1,,,,
Glockenspiel,Sample 12,Kurzweil - Orchestral ROM,Programs -> PERCUSSION,971 Glockenspiel,,,,
Glockenspiel,Sample 13,Kurzweil - Orchestral ROM,Programs -> PERCUSSION,971 Glockenspiel,,,,
Harmonica,Sample 14,Roland - SOUND Canvas SC-8820,SC-8820 Map,023 000 Harmonica,,,,
Harmonica,Sample 15,Roland - SOUND Canvas SC-8820,SC-8820 Map,023 000 Harmonica,,,,
Harmonica,Sample 16,Roland - SOUND Canvas SC-8820,SC-8820 Map,023 000 Harmonica,,,,
Slow String Ensemble,Sample 17,UNKNOWN,,,,,,
Slow String Ensemble,Sample 18,UNKNOWN,,,,,,
Slow String Ensemble,Sample 19,UNKNOWN,,,,,,
Slow String Ensemble,Sample 20,UNKNOWN,,,,,,
Slow String Ensemble,Sample 21,UNKNOWN,,,,,,
Slow String Ensemble,Sample 22,UNKNOWN,,,,,,
Slow String Ensemble,Sample 23,UNKNOWN,,,,,,
Slow String Ensemble,Sample 24,UNKNOWN,,,,,,
Triangle,Sample 25,UNKNOWN,,,,,,
Synth Bass,Sample 26,UNKNOWN,,,,,,
28. Movement In Green,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
Pizzicato String,Sample 0,Roland - SOUND CANVAS SC-88Pro,Native Map,046 000 Pizz. Str.,,,,
Pizzicato String,Sample 1,Roland - SOUND CANVAS SC-88Pro,Native Map,046 000 Pizz. Str.,,,,
Pizzicato String,Sample 2,Roland - SOUND CANVAS SC-88Pro,Native Map,046 000 Pizz. Str.,,,,
Pizzicato String,Sample 3,Roland - SOUND CANVAS SC-88Pro,Native Map,046 000 Pizz. Str.,,,,
Pizzicato String,Sample 4,Roland - SOUND CANVAS SC-88Pro,Native Map,046 000 Pizz. Str.,,,,
Pizzicato String,Sample 5,Roland - SOUND CANVAS SC-88Pro,Native Map,046 000 Pizz. Str.,,,,
Santur,Sample 6,Roland - SOUND CANVAS SC-88Pro,Native Map,016 001 Santur 2,,,,
Santur,Sample 7,Roland - SOUND CANVAS SC-88Pro,Native Map,016 001 Santur 2,,,,
Santur,Sample 8,Roland - SOUND CANVAS SC-88Pro,Native Map,016 001 Santur 2,,,,
Santur,Sample 9,Roland - SOUND CANVAS SC-88Pro,Native Map,016 001 Santur 2,,,,
Santur,Sample 10,Roland - SOUND CANVAS SC-88Pro,Native Map,016 001 Santur 2,,,,
Santur,Sample 11,Roland - SOUND CANVAS SC-88Pro,Native Map,016 001 Santur 2,,,,
Accordion,Sample 12,UNKNOWN,,,,,,
Accordion,Sample 13,UNKNOWN,,,,,,
Accordion,Sample 14,UNKNOWN,,,,,,
Accordion,Sample 15,UNKNOWN,,,,,,
Choir,Sample 16,UNKNOWN,,,,,,
Choir,Sample 17,UNKNOWN,,,,,,
Choir,Sample 18,UNKNOWN,,,,,,
Choir,Sample 19,UNKNOWN,,,,,,
Choir,Sample 20,UNKNOWN,,,,,,
Erhu,Sample 21,UNKNOWN,,,,,,
Erhu,Sample 22,UNKNOWN,,,,,,
Sticks,Sample 23,UNKNOWN,,,,,,
Sticks,Sample 24,UNKNOWN,,,,,,
Udu Pot,Sample 25,UNKNOWN,,,,,,
Udu Pot,Sample 26,UNKNOWN,,,,,,
Shaker,Sample 27,UNKNOWN,,,,,,
Rim,Sample 28,UNKNOWN,,,,,,
Tambourine,Sample 29,UNKNOWN,,,,,,
Triangle,Sample 30,UNKNOWN,,,,,,
Triangle,Sample 31,UNKNOWN,,,,,,
Synth Pad,Sample 32,UNKNOWN,,,,,,
Synth Pad,Sample 33,UNKNOWN,,,,,,
Synth Pad,Sample 34,UNKNOWN,,,,,,
Synth Pad,Sample 35,UNKNOWN,,,,,,
Synth Voice,Sample 36,UNKNOWN,,,,,,
String Ensemble,Sample 37,UNKNOWN,,,,,,
String Ensemble,Sample 38,UNKNOWN,,,,,,
String Ensemble,Sample 39,UNKNOWN,,,,,,
String Ensemble,Sample 40,UNKNOWN,,,,,,
String Ensemble,Sample 41,UNKNOWN,,,,,,
29. The Sending,,,,,,,,
(Arranged by Masashi Hamauzu),,,,,,,,
,---,,,,,,,
,---,,,,,,,
30. Calm Before The Storm,,,,,,,,
(Arranged by Nobuo Uematsu),,,,,,,,
Celesta,Sample 0,UNKNOWN,,,,,,
Celesta,Sample 1,UNKNOWN,,,,,,
Celesta,Sample 2,UNKNOWN,,,,,,
Celesta,Sample 3,UNKNOWN,,,,,,
Electric Piano,Sample 4,UNKNOWN,,,,,,
Electric Piano,Sample 5,UNKNOWN,,,,,,
Electric Piano,Sample 6,UNKNOWN,,,,,,
Electric Piano,Sample 7,UNKNOWN,,,,,,
Electric Piano,Sample 8,UNKNOWN,,,,,,
Mellotron Flute,Sample 9,UNKNOWN,,,,,,
Mellotron Flute,Sample 10,UNKNOWN,,,,,,
Mellotron Flute,Sample 11,UNKNOWN,,,,,,
Mellotron Flute,Sample 12,UNKNOWN,,,,,,
Mellotron Flute,Sample 13,UNKNOWN,,,,,,
Nylon Guitar,Sample 14,EastWest - Quantum Leap Guitar & Bass,AC,ACSMEDPICK,,,,
Nylon Guitar,Sample 15,EastWest - Quantum Leap Guitar & Bass,AC,ACSMEDPICK,,,,
Nylon Guitar,Sample 16,EastWest - Quantum Leap Guitar & Bass,AC,ACSMEDPICK,,,,
Nylon Guitar,Sample 17,EastWest - Quantum Leap Guitar & Bass,AC,ACSMEDPICK,,,,
Nylon Guitar,Sample 18,EastWest - Quantum Leap Guitar & Bass,AC,ACSMEDPICK,,,,
Nylon Guitar,Sample 19,EastWest - Quantum Leap Guitar & Bass,AC,ACSMEDPICK,,,,
Nylon Guitar,Sample 20,EastWest - Quantum Leap Guitar & Bass,AC,ACSMEDPICK,,,,
Nylon Guitar,Sample 21,EastWest - Quantum Leap Guitar & Bass,AC,ACSMEDPICK,,,,
Nylon Guitar,Sample 22,EastWest - Quantum Leap Guitar & Bass,AC,ACSMEDPICK,,,,
Fretless Bass,Sample 23,UNKNOWN,,,,,,
Fretless Bass,Sample 24,UNKNOWN,,,,,,
Fretless Bass,Sample 25,UNKNOWN,,,,,,
Fretless Bass,Sample 26,UNKNOWN,,,,,,
Fretless Bass,Sample 27,UNKNOWN,,,,,,
Mellotron String Ensemble,Sample 28,UNKNOWN,,,,,,
Mellotron String Ensemble,Sample 29,UNKNOWN,,,,,,
Mellotron String Ensemble,Sample 30,UNKNOWN,,,,,,
Mellotron String Ensemble,Sample 31,UNKNOWN,,,,,,
31. Hymn - Ifrit,,,,,,,,
,Sample 0,,,,,,,
32. Luca,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
Tom ,Sample 0,UNKNOWN,,,,,,
Brush,Sample 1,UNKNOWN,,,,,,
Tom ,Sample 2,UNKNOWN,,,,,,
Ride Cymbal,Sample 3,UNKNOWN,,,,,,
Tabla,Sample 4,UNKNOWN,,,,,,
Tabla,Sample 5,UNKNOWN,,,,,,
Upright Bass,Sample 6,UNKNOWN,,,,,,
Upright Bass,Sample 7,UNKNOWN,,,,,,
Upright Bass,Sample 8,UNKNOWN,,,,,,
Upright Bass,Sample 9,UNKNOWN,,,,,,
Upright Bass,Sample 10,UNKNOWN,,,,,,
Steel Guitar,Sample 11,UNKNOWN,,,,,,
Steel Guitar,Sample 12,UNKNOWN,,,,,,
Steel Guitar,Sample 13,UNKNOWN,,,,,,
Steel Guitar,Sample 14,UNKNOWN,,,,,,
Steel Drum,Sample 15,UNKNOWN,,,,,,
Steel Drum,Sample 16,UNKNOWN,,,,,,
Synth Pad,Sample 17,UNKNOWN,,,,,,
Synth Pad,Sample 18,UNKNOWN,,,,,,
Piano Chord,Sample 19,UNKNOWN,,,,,,
Piano Chord,Sample 20,UNKNOWN,,,,,,
Piano Chord,Sample 21,UNKNOWN,,,,,,
Piano Chord,Sample 22,UNKNOWN,,,,,,
Steel Guitar,Sample 23,UNKNOWN,,,,,,
Steel Guitar,Sample 24,UNKNOWN,,,,,,
Steel Guitar,Sample 25,UNKNOWN,,,,,,
Steel Guitar,Sample 26,UNKNOWN,,,,,,
String Ensemble,Sample 27,UNKNOWN,,,,,,
String Ensemble,Sample 28,UNKNOWN,,,,,,
33. Grand Maester,,,,,,,,
(Arranged by Junya Nakano),,,,,,,,
Spiccato String Chord,Sample 0,UNKNOWN,,,Octaved,,,
Spiccato String Chord,Sample 1,UNKNOWN,,,Octaved,,,
Spiccato String Chord,Sample 2,UNKNOWN,,,Octaved,,,
Spiccato String Chord,Sample 3,UNKNOWN,,,Octaved,,,
Spiccato String Chord,Sample 4,UNKNOWN,,,Octaved,,,
Harp,Sample 5,UNKNOWN,,,,,,
Harp,Sample 6,UNKNOWN,,,,,,
Harp,Sample 7,UNKNOWN,,,,,,
Harp,Sample 8,UNKNOWN,,,,,,
Harp,Sample 9,UNKNOWN,,,,,,
Harp,Sample 10,UNKNOWN,,,,,,
Harp,Sample 11,UNKNOWN,,,,,,
Timpani,Sample 12,UNKNOWN,,,,,,
Timpani,Sample 13,UNKNOWN,,,,,,
Snare,Sample 14,UNKNOWN,,,,,,
Snare,Sample 15,UNKNOWN,,,,,,
Cymbal Crash,Sample 16,UNKNOWN,,,,,,
Timpani,Sample 17,UNKNOWN,,,,,,
