Type,Brand Name,Product,Notes,Source / Proof
Sample Library,Heavyocity,Evolve R2,,Bilibili Stream
Sample Library,Heavyocity,Damage,,Bilibili Stream
Sample Library,HY2ROGEN,Future House,,Bilibili Stream
Sample Library,HY2ROGEN,Trap 2,,Bilibili Stream
Sample Library,Ilya Efimov Production,Acoustic Guitar,,Bilibili Stream
Sample Library,Ilya Efimov Production,LP Electric Guitar,,Bilibili Stream
Sample Library,Ilya Efimov Production,Nylon Guitar,,Bilibili Stream
Sample Library,Impact Soundworks,Shreddage,,Bilibili Stream
Sample Library,Industrial Strength,TD Audio - Future Chill & Electronica,,Bilibili Stream
Sample Library,Industrial Strength,Smokin Hip Hop,,Bilibili Stream
Sample Library,Mainroom Warehouse,Future Vocal Pop Anthems,,Bilibili Stream
Sample Library,Native Instruments,Abbey Road 70s Drummer,Post shows Abbey Road 70s Drums,Weibo Post
Sample Library,Native Instruments,Abbey Road 80s Drummer,,Weibo Post
Sample Library,Native Instruments,Abbey Road Modern Drummer,,Weibo Post
Sample Library,Native Instruments,Action Strikes,,Bilibili Stream
Sample Library,Native Instruments,Action Strings,,Bilibili Stream
Sample Library,Native Instruments,Alicia's Keys,,Bilibili Stream
Sample Library,Native Instruments,George Duke Soul Treasures,,Bilibili Stream
Sample Library,Native Instruments,Kontakt Factory Library,,Bilibili Stream
Sample Library,Native Instruments,Rise & Hit,,Bilibili Stream
Sample Library,Native Instruments,Session Strings,,Weibo Post
Sample Library,Native Instruments,Session Strings Pro,,Bilibili Stream
Sample Library,Native Instruments,Spotlight Collection: Cuba,"Stream shows Discovery Series: Cuba, both are the same library",Bilibili Stream
Sample Library,Native Instruments,Studio Drummer,,Bilibili Stream
Sample Library,Native Instruments,The Gentleman,,Bilibili Stream
Sample Library,Native Instruments,The Giant,,Bilibili Stream
Sample Library,Native Instruments,The Grandeur,,Bilibili Stream
Sample Library,Native Instruments,Una Corda,,Bilibili Stream
Sample Library,Native Instruments,Vintage Organs,,Weibo Post
Sample Library,NODUSK,Kawaii Bass,,
Sample Library,Orchestral Tools,Berlin Woodwinds,,Bilibili Stream
Sample Library,Origin Sound,Vintage Vocals - Movie Cuts & Scratches II,,
Sample Library,ovasenpai,Free Snare Pack! :) ,,Bilibili Stream
Sample Library,Producers Choice,Dubstep Drum Vault,,Bilibili Stream
Sample Library,Production Master,Riddim Dubstep Weapons 2,,
Sample Library,Production Master,Venemy: Unison Ableton Template,,Bilibili Stream
Sample Library,ProjectSAM,Symphobia,,Bilibili Stream
Sample Library,Realitone,Realivox Ladies,,Bilibili Stream
Sample Library,Rhythm Lab,Amen Break vol. 1,,
Sample Library,Rhythm Lab,Amen Break vol. 2,,
Sample Library,Sample Logic,Ambience Impacts Rhythms,,Bilibili Stream
Sample Library,Sample Logic,Morphestra,,Bilibili Stream
Sample Library,Samplephonics,43% Giant: Future Bass,,Weibo Post
Sample Library,Scarbee,A-200,,Weibo Post
Sample Library,Scarbee,Mark I,,Weibo Post
Sample Library,Scarbee,Funk Guitarist,,Bilibili Stream
Sample Library,Scarbee,Rickenbacker Bass,,Bilibili Stream
Sample Library,Singomakers,EDM Ultra Pack 3,,Weibo Post
Sample Library,Singomakers,EDM Ultra Pack 4,,Bilibili Stream
Sample Library,Singomakers,Future Bass Ultra Pack Vol. 2,,Bilibili Post
Sample Library,Singomakers,Innovation Series: EDM,,Bilibili Stream
Sample Library,Singomakers,Skill-X-Dubstep Vol. 2,,Weibo Post
Sample Library,Sonic Mechanics,20hz Sound - Soul Trap,,Bilibili Stream
Sample Library,Soundmasters,Secret Sounds,,Bilibili Stream
Sample Library,Splice Sounds,Virtual Riot: Heavy Bass Design,,Bilibili Stream
Sample Library,Surge Sounds,Indie Future Bass,,Bilibili Stream
Sample Library,Threat Collective,Community Pack V.1,,Bilibili Stream
Sample Library,Vir2,synTAX,,Bilibili Stream
Sample Library,W.A. Production,What About: EDM Festival Elements,,Bilibili Stream
Software,Ample Sound,Ample Bass Acoustic,,Bilibili Stream
Software,Ample Sound,Ample Bass P,,Bilibili Stream
Software,Ample Sound,Ample Guitar F,Renamed to Ample Guitar SC,Bilibili Stream
Software,Ample Sound,Ample Guitar H,Renamed to Ample Guitar Semi Hollow,Bilibili Stream
Software,Ample Sound,Ample Guitar T,,Bilibili Stream
Software,Ample Sound,Ample Metal Eclipse,,Bilibili Stream
Software,Applied Acoustics Systems,Chromaphone,,Weibo Post
Software,Avid,Sibelius,,Weibo Post
Software,LennarDigital,Sylenth1,,Weibo Post
Software,Native Instruments,Absynth 5,,Bilibili Stream
Software,Native Instruments,Battery 4,,Bilibili Stream
Software,Native Instruments,FM8,,Bilibili Stream
Software,Native Instruments,Komplete Kontrol,,Bilibili Post
Software,Native Instruments,Kontakt 5,,Bilibili Post
Software,Native Instruments,Massive,,Weibo Post
Software,Native Instruments,Reaktor 6,,Bilibili Stream
Software,Rob Papen,Albino 3,,Weibo Post
Software,Spectrasonics,Keyscape,,Bilibili Stream
Software,Spectrasonics,Omnisphere,,Weibo Post
Software,Spectrasonics,Stylus RMX,,Weibo Post
Software,Spectrasonics,Trilian,,Weibo Post
Software,Steinberg,Groove Agent SE,,Bilibili Post
Software,Steinberg,Hypersonic 2,,Weibo Post
Software,Steinberg,Padshop,,Weibo Post
Software,Steinberg & Yamaha,VOCALOID Editor for Cubase,,Weibo Post
Software,Sugar Bytes,Cyclop,,Weibo Post
Software,Xfer Records,Serum,,Bilibili Post
Software,Yamaha,VOCALOID3,,Weibo Post
Software,Yamaha,VOCALOID4,,Weibo Post
Song Peiyan,宋培彦,,Tracks Composed:,95
DAW,Ableton,Live,,Behind the Scenes of Sān-Z Music Production Episode 1 (0:28)
Sample Library,Disciple Samples,Sharks - Color Bass Vol. 1,,
Sample Library,Disciple Samples,Virtual Riot - Heavy Bass Design Vol. 3,,
Sample Library,Disciple Samples,Spicy Riddim Drums Vol. 2,,
Sample Library,Embertone,Honkytonk Harmonica,,
Sample Library,Native Instruments,Session Strings Pro,,
Sample Library,Sample Magic,Chiptune,,
Sample Library,Splice Sounds,Sounds of KSHMR Vol. 3,,
Sample Library,Splice Sounds,Virtual Riot: Heavy Bass Design,,
Sample Library,Test Press,Noisia Sample Pack Vol. 2,,
Software,Ample Sound,Ample Bass P,,
Software,Spectrasonics,Trilian,,
Software,Xfer Records,Serum,,
Lei Sheng,雷声,,Tracks Composed:,58
DAW,Ableton,Live,,Behind the Scenes of Sān-Z Music Production Episode 1 (0:13)
Effect,Baby Audio,Crystalline,,Bilibili Video
Effect,Cherry Audio,Spin,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Effect,Cradle,The God Particle,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Effect,FabFilter,Pro-Q 3,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Effect,Initial Audio,Dynamic Delay,,Bilibili Video
Effect,Joey Sturgis Tones,JST Bus Glue BG-Bass,,Bilibili Video
Effect,Kilohearts,Snap Heap,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Effect,MAGIX,coreFX Delay,Sold in coreFX Suite,Bilibili Video
Effect,MAGIX,wizardFX Modern Reverb,Sold in wizardFX Suite,Bilibili Video
Effect,NoiseAsh,SpeakerSim,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Effect,NoiseAsh,Vocal Finalizer,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Effect,Nuro Audio,Xvox Pro,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Effect,Output,Thermal,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Effect,Overloud,TH-U,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Effect,Plugin Boutique,StereoSavage 2,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Effect,Relab Development,LX480 Complete,,Bilibili Video
Effect,Slate Digital,Virtual Tape Machines,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Effect,Solid State Logic,G-Master Buss Compressor,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Effect,UJAM,Finisher FLUXX,,Bilibili Video
Effect,UJAM,Finisher RETRO,,Bilibili Video
Effect,Unfiltered Audio,Bass Mint,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Effect,Unfiltered Audio,Byome,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Effect,Universal Audio,SPL Transient Designer,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Effect,ValhallaDSP,ValhallaRoom,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Effect,ValhallaDSP,ValhallaVintageVerb,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Effect,W. A. Production,SphereDelay 2,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Effect,W. A. Production,Vocal Splitter,,Bilibili Video
Effect,Waves,CLA-76 Compressor,,Bilibili Video
Effect,Waves,dbx® 160 Compressor / Limiter,,Bilibili Video
Effect,Waves,Vocal Rider,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Effect,Waves,Waves Harmony,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Effect,Waves,Waves Tune Real-Time,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Hardware,Otamatone,Otamatone Regular Black,,Behind the Scenes of Sān-Z Music Production Episode 1 (5:49)
Sample Library,Angry Parrot,Riddim Sounds 2,,Bilibili Video
Sample Library,Billegal Sounds,Eliderp - Heinous,,Bilibili Video
Sample Library,Billegal Sounds,Mleuc - Audiomoshing,,Bilibili Video
Sample Library,Bullyfinger,Chip Drums,,Bilibili Video
Sample Library,Dropgun Samples,Vocal Slap House 2,,Bilibili Video
Sample Library,Echo Sound Works,Nu Vintage,,Bilibili Video
Sample Library,Fear The Sounds,Fear the Rock ft. Sullivan King and KJ Sawka,,Bilibili Video
Sample Library,Freaky Loops,Instinct: Futuristic Dark Cinema,,Bilibili Video
Sample Library,Ghost Syndicate,Flux,,Bilibili Video
Sample Library,Ghosthack,Hype Trap,,Bilibili Video
Sample Library,Ghosthack,Ultimate Midtempo Attack,,
Sample Library,Infinity Audio,Dancefloor - Tech House Essentials,,Bilibili Video
Sample Library,Keepforest,Evolution: Devastator,,Bilibili Video
Sample Library,lapix,HiTECH NINJA SAMPLES Vol. 1,,
Sample Library,lapix,HiTECH NINJA SAMPLES Vol. 4,,Bilibili Video
Sample Library,Loopmasters,Chilled Glitch,,Bilibili Video
Sample Library,ModeAudio,Airflow: Scifi Cinematic Loops,,Bilibili Video
Sample Library,ModeAudio,Apparition,,Bilibili Video
Sample Library,Mr. Bill's Tunes,Digital Drums,,Bilibili Video
Sample Library,Mr. Bill's Tunes,Organic Drums,,Bilibili Video
Sample Library,Mr. Bill's Tunes,SPECTRA,,Bilibili Video
Sample Library,Origin Sound,Aether,,Bilibili Video
Sample Library,Origin Sound,Singularity - Hard Hybrid Trap,,Bilibili Video
Sample Library,Oversampled,CYBERPACK 2077,,Bilibili Video
Sample Library,Production Master,Ambient Panoramas 2,,Bilibili Video
Sample Library,Production Master,Mirrors: Dark Ambient & Cinematic,,Bilibili Video
Sample Library,Rhythm Lab,Amen Break vol. 1,,
Sample Library,Sample Tools By Cr2,Straight Up Dubstep,,Bilibili Video
Sample Library,Samples From Mars,727 From Mars,,Bilibili Video
Sample Library,Samplestar,Lofi & Chill Study Beats,,Bilibili Video
Sample Library,Singomakers,Rawstyle Weapons,,Bilibili Video
Sample Library,Smokey Loops,Cinematic Elements Vol 2,,Bilibili Video
Sample Library,Splice Originals,Brooklyn Breaks,,Bilibili Video
Sample Library,Splice Sounds,Apashe Majestic Sample Pack,,Bilibili Video
Sample Library,Splice Sounds,Au5 - Arise Sample Pack,,Bilibili Video
Sample Library,Splice Sounds,Mr. Kristopher Industrial Revolution Pack,,Bilibili Video
Sample Library,Splice Sounds,Netrunner: Hollywood Cyberpunk,,Bilibili Video
Sample Library,Splice Sounds,Sounds of KSHMR Vol. 1,,
Sample Library,Splice Sounds,Sounds of KSHMR Vol. 4,,Bilibili Video
Sample Library,Splice Sounds,Yung Bae Sample Kit,,Bilibili Video
Sample Library,Splice Soundscapes,Recycling,,Bilibili Video
Sample Library,Test Press,Hybrid Trap & Bass,,Bilibili Video
Sample Library,That Sound,Dark + Chill,,Bilibili Video
Sample Library,That Sound,Darren King,,Bilibili Video
Sample Library,W. A. Production,Cinematic Tension & FX 2,,Bilibili Video
Sample Library,W. A. Production,Future Dubstep Jade,,Bilibili Video
Sample Library,W. A. Production & OCTVE.CO,OG Series: UNKWN Vol. 2,,Bilibili Video
Sample Library,xaev,xaev sounds kit vol. 1,,
Software,4Front Technologies,4Front Piano,,Bilibili Video
Software,Ample Sound,Ample Metal Hellrazer,,Bilibili Video
Software,Arturia,Pigments,,Bilibili Video
Software,AudioThing,miniBit,,Bilibili Video
Software,Future Audio Workshop,Sublab,,Bilibili Video
Software,Future Audio Workshop,Sublab XL,,Bilibili Video
Software,Native Instruments,Battery 4,,
Software,Native Instruments,Kontakt,,Bilibili Video
Software,Naughty Seal Audio,Perfect Drums,,Bilibili Video
Software,Reveal Sound,Spire,,Bilibili Video
Software,Sampleson,CollaB3,,Bilibili Video
Software,Sonarworks,SoundID Reference,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Software,Spectrasonics,Keyscape,,Bilibili Video
Software,Spectrasonics,Omnisphere,,Bilibili Video
Software,Spectrasonics,Trilian,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Software,Toontrack,EZkeys,,Bilibili Video
Software,u-he,Zebra2,,Bilibili Video
Software,UJAM,Beatmaker HYPE,,Bilibili Video
Software,UJAM,Beatmaker VICE,,Bilibili Video
Software,Xfer Records,Serum,,Behind the Scenes of Sān-Z Music Production Episode 1 (6:11)
Zhou Bin,周斌,,Tracks Composed:,39
DAW,Steinberg,Cubase,,Behind the Scenes of Sān-Z Music Production Episode 1 (0:16)
Effect,Cableguys,ShaperBox 3,,Behind the Scenes of Sān-Z Music Production Episode 1 (7:54)
Effect,FabFilter,Pro-Q 3,,Behind the Scenes of Sān-Z Music Production Episode 1 (7:54)
Effect,Output,Thermal,,Behind the Scenes of Sān-Z Music Production Episode 1 (0:16)
Hardware,Native Instruments,Komplete Kontrol,,Behind the Scenes of Sān-Z Music Production Episode 1 (0:24)
Sample Library,Cymatics,AURORA Acoustic Drum Recordings,,
Sample Library,Cymatics,Dubstep Toolkit,,
Sample Library,Cymatics,Future Bass Starter Pack,,
Sample Library,DABRO Music,Meedtempo Vocals,,Behind the Scenes of Sān-Z Music Production Episode 1 (7:54)
Sample Library,Disciple Samples,Bandlez: Bag of Bass Vol.1,,
Sample Library,Disciple Samples,Barely Alive - Essential Samples Vol. 1,,
Sample Library,Disciple Samples,Barely Alive - Essential Samples Vol. 2,,
Sample Library,Disciple Samples,Chime & Ace Aura - Melodic Riddim Vol. 1,,
Sample Library,Disciple Samples,Disciple: Riddim Starter Pack Vol. 1,,
Sample Library,Disciple Samples,Eliminate - Cyber Trap Vol. 1,,
Sample Library,Disciple Samples,Samplifire Power Pack Vol. 1,,
Sample Library,Disciple Samples,Virtual Riot - Heavy Bass Design Vol. 2,,
Sample Library,Disciple Samples,Spicy Riddim Drums Vol. 2,,
Sample Library,EastWest,Symphonic Orchestra,,
Sample Library,Ghosthack,Ultimate Midtempo Attack,,Behind the Scenes of Sān-Z Music Production Episode 1 (7:54)
Sample Library,Ghost Syndicate,Spiders,,
Sample Library,Production Master,MidTempo Warfare,,Behind the Scenes of Sān-Z Music Production Episode 1 (7:54)
Sample Library,Oversampled,CYBERPACK 2077,,
Sample Library,Oversampled,POLYCHROME - Color Bass & Melodic Dubstep,,
Sample Library,Splice Originals,Brooklyn Breaks,,
Sample Library,Splice Sounds,Dirty Audio Sample Pack,,
Sample Library,Splice Sounds,Sounds of KSHMR Vol. 2,,
Sample Library,Splice Sounds,Sounds of KSHMR Vol. 3,,
Sample Library,Splice Sounds,Virtual Riot: Heavy Bass Design,,
Sample Library,Test Press,Noisia Sample Pack Vol. 2,,
Sample Library,XLNTSOUND,Cartel Vol. 2,,
Sample Library,XLNTSOUND,Cartel Vol. 3,,
Sample Library,XLNTSOUND,Mid-Temps,,Behind the Scenes of Sān-Z Music Production Episode 1 (7:54)
Sample Library,XLNTSOUND,Skrilla,,
Software,Spectrasonics,Trilian,,
Software,Xfer Records,Serum,,
Yu Zongru,余宗儒,,Tracks Composed:,26
,,,,
Jiahao Chen,陈嘉豪,,Tracks Composed:,10
DAW,Image-Line,FL Studio,,Behind the Scenes of Sān-Z Music Production Episode 2
Mingji Wang,王铭基,,Tracks Composed:,3
,,,,
Yichi Zhang,张益弛,,Tracks Composed:,2
,,,,
,,,,
,,,,
,,,,
,,,,
Honkai: Nexus Anima,,,,
,,,,
,,,,
To be added,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Petit Planet,,,,
,,,,
,,,,
To be added,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Varsapura,,,,
,,,,
,,,,
To be added,,,,
,,,,
,,,,
